active,TP,FP,FN,TN,precision,recall,F1,jaccard,coef_err,test_mse,rule,E,seed,converged,rounds,kib,lambda1,lambda2,lambda3
276,30,246,0,324,0.108695652,1,0.196078431,0.108695652,0.581766762,1.790595942,val_mse,1,1,TRUE,13,182.8125,0.078804628,0.078804628,0.041753189
255,30,225,0,345,0.117647059,1,0.210526316,0.117647059,0.709570467,1.948800071,val_mse,3,1,TRUE,8,112.5,0.078804628,0.078804628,0.041753189
232,30,202,0,368,0.129310345,1,0.229007634,0.129310345,0.748870423,2.011926244,val_mse,5,1,TRUE,7,98.4375,0.078804628,0.078804628,0.041753189
227,30,197,0,373,0.13215859,1,0.233463035,0.13215859,0.787623448,2.076164813,val_mse,10,1,TRUE,6,84.375,0.078804628,0.078804628,0.041753189
216,30,186,0,384,0.138888889,1,0.243902439,0.138888889,0.812730126,2.125785897,val_mse,20,1,TRUE,5,70.3125,0.078804628,0.078804628,0.041753189
154,30,124,0,446,0.194805195,1,0.326086957,0.194805195,0.752865051,2.082471191,val_1se,1,1,TRUE,11,154.6875,0.108263673,0.108263673,0.108263673
154,30,124,0,446,0.194805195,1,0.326086957,0.194805195,0.884153155,2.292717271,val_1se,3,1,TRUE,7,98.4375,0.108263673,0.108263673,0.108263673
151,30,121,0,449,0.198675497,1,0.331491713,0.198675497,0.918050894,2.352782215,val_1se,5,1,TRUE,6,84.375,0.108263673,0.108263673,0.108263673
147,30,117,0,453,0.204081633,1,0.338983051,0.204081633,0.941969834,2.400590862,val_1se,10,1,TRUE,5,70.3125,0.108263673,0.108263673,0.108263673
147,30,117,0,453,0.204081633,1,0.338983051,0.204081633,0.948425484,2.413882169,val_1se,20,1,TRUE,4,56.25,0.108263673,0.108263673,0.108263673
600,30,570,0,0,0.05,1,0.095238095,0.05,7.60E+57,5.92E+115,BIC,1,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.06E+65,1.91E+131,BIC,3,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.06E+67,1.34E+134,BIC,5,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.17E+66,1.68E+132,BIC,10,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.53E+65,2.73E+131,BIC,20,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,7.60E+57,5.92E+115,EBIC_g05,1,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.06E+65,1.91E+131,EBIC_g05,3,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.06E+67,1.34E+134,EBIC_g05,5,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.17E+66,1.68E+132,EBIC_g05,10,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.53E+65,2.73E+131,EBIC_g05,20,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,7.60E+57,5.92E+115,EBIC_g10,1,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.06E+65,1.91E+131,EBIC_g10,3,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.06E+67,1.34E+134,EBIC_g10,5,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.17E+66,1.68E+132,EBIC_g10,10,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.53E+65,2.73E+131,EBIC_g10,20,1,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
46,30,16,0,554,0.652173913,1,0.789473684,0.652173913,3.400436099,13.80811397,oracle_F1,1,1,TRUE,9,126.5625,0.529831691,0.529831691,0.727895384
49,30,19,0,551,0.612244898,1,0.759493671,0.612244898,3.562867593,14.89941839,oracle_F1,3,1,TRUE,5,70.3125,0.529831691,0.529831691,0.727895384
49,30,19,0,551,0.612244898,1,0.759493671,0.612244898,3.580144586,15.02531829,oracle_F1,5,1,TRUE,4,56.25,0.529831691,0.529831691,0.727895384
49,30,19,0,551,0.612244898,1,0.759493671,0.612244898,3.582471853,15.04342284,oracle_F1,10,1,TRUE,3,42.1875,0.529831691,0.529831691,0.727895384
49,30,19,0,551,0.612244898,1,0.759493671,0.612244898,3.58248134,15.04350371,oracle_F1,20,1,TRUE,2,28.125,0.529831691,0.529831691,0.727895384
384,30,354,0,216,0.078125,1,0.144927536,0.078125,0.447594596,1.215371373,val_mse,1,2,TRUE,18,253.125,0.041753189,0.057361525,0.041753189
351,30,321,0,249,0.085470085,1,0.157480315,0.085470085,0.5931552,1.381996503,val_mse,3,2,TRUE,10,140.625,0.041753189,0.057361525,0.041753189
338,30,308,0,262,0.088757396,1,0.163043478,0.088757396,0.656388572,1.494649644,val_mse,5,2,TRUE,9,126.5625,0.041753189,0.057361525,0.041753189
322,30,292,0,278,0.093167702,1,0.170454545,0.093167702,0.717451514,1.606049319,val_mse,10,2,TRUE,7,98.4375,0.041753189,0.057361525,0.041753189
315,30,285,0,285,0.095238095,1,0.173913043,0.095238095,0.75065089,1.661656841,val_mse,20,2,TRUE,6,84.375,0.041753189,0.057361525,0.041753189
155,30,125,0,445,0.193548387,1,0.324324324,0.193548387,0.760228453,1.666626803,val_1se,1,2,TRUE,11,154.6875,0.108263673,0.108263673,0.148735211
157,30,127,0,443,0.191082803,1,0.320855615,0.191082803,0.934436044,2.01965232,val_1se,3,2,TRUE,7,98.4375,0.108263673,0.108263673,0.148735211
