"rule","E","mean_active","mean_TP","mean_FP","mean_FN","mean_prec","mean_recall","mean_F1","sd_F1","mean_jacc","mean_coef","mean_tmse","mean_rounds","mean_kib","frac_FN_pos","mean_lam1","mean_lam2","mean_lam3"
"BIC",1,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,4.24924782419732e+63,4.20905752773497e+128,3000,42187.5,0,1e-04,1e-04,1e-04
"BIC",3,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,3.23333680595204e+73,1.84819492728024e+148,3000,42187.5,0,1e-04,1e-04,1e-04
"BIC",5,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,1.14843194819906e+76,2.35273767296361e+153,3000,42187.5,0,1e-04,1e-04,1e-04
"BIC",10,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,2.59988386477242e+77,1.21604917503083e+156,3000,42187.5,0,1e-04,1e-04,1e-04
"BIC",20,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,3.99984700147015e+77,2.89151045292351e+156,3000,42187.5,0,1e-04,1e-04,1e-04
"EBIC_g05",1,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,4.24924782419732e+63,4.20905752773497e+128,3000,42187.5,0,1e-04,1e-04,1e-04
"EBIC_g05",3,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,3.23333680595204e+73,1.84819492728024e+148,3000,42187.5,0,1e-04,1e-04,1e-04
"EBIC_g05",5,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,1.14843194819906e+76,2.35273767296361e+153,3000,42187.5,0,1e-04,1e-04,1e-04
"EBIC_g05",10,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,2.59988386477242e+77,1.21604917503083e+156,3000,42187.5,0,1e-04,1e-04,1e-04
"EBIC_g05",20,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,3.99984700147015e+77,2.89151045292351e+156,3000,42187.5,0,1e-04,1e-04,1e-04
"EBIC_g10",1,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,4.24924782419732e+63,4.20905752773497e+128,3000,42187.5,0,1e-04,1e-04,1e-04
"EBIC_g10",3,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,3.23333680595204e+73,1.84819492728024e+148,3000,42187.5,0,1e-04,1e-04,1e-04
"EBIC_g10",5,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,1.14843194819906e+76,2.35273767296361e+153,3000,42187.5,0,1e-04,1e-04,1e-04
"EBIC_g10",10,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,2.59988386477242e+77,1.21604917503083e+156,3000,42187.5,0,1e-04,1e-04,1e-04
"EBIC_g10",20,600,30,570,0,0.05,1,0.0952380952380952,0,0.05,3.99984700147015e+77,2.89151045292351e+156,3000,42187.5,0,1e-04,1e-04,1e-04
"oracle_F1",1,46.35,30,16.35,0,0.658727110186866,1,0.790899233634838,0.0648544666317088,0.658727110186866,3.523281424097,13.6771268200962,8.75,123.046875,0,0.539734875316868,0.53609671951725,0.751795019382042
"oracle_F1",3,50.65,30,20.65,0,0.605606661281886,1,0.750462831588126,0.071282245269385,0.605606661281886,3.69869294917573,14.9476326351084,4.75,66.796875,0,0.539734875316868,0.53609671951725,0.751795019382042
"oracle_F1",5,50.8,30,20.8,0,0.604078384681018,1,0.749187815529397,0.0720232418754568,0.604078384681018,3.72074245566411,15.1069357846726,3.75,52.734375,0,0.539734875316868,0.53609671951725,0.751795019382042
"oracle_F1",10,50.9,30,20.9,0,0.603236763895788,1,0.748456199557794,0.0728135230222258,0.603236763895788,3.72707523103199,15.1497292138148,3,42.1875,0,0.539734875316868,0.53609671951725,0.751795019382042
"oracle_F1",20,50.85,30,20.85,0,0.603849008793748,1,0.748930883102098,0.0728550505880028,0.603849008793748,3.72755580483178,15.1526368739213,2.15,30.234375,0,0.539734875316868,0.53609671951725,0.751795019382042
"val_1se",1,184.3,30,154.3,0,0.166096426106824,1,0.284280338614796,0.0331170654831366,0.166096426106824,0.712042219326519,1.57750616592251,11.45,161.015625,0,0.092061198510517,0.107891970336994,0.114162799924342
"val_1se",3,180.45,30,150.45,0,0.168741694660746,1,0.288295568748581,0.0291149059888681,0.168741694660746,0.856681318742863,1.81146331328168,7.2,101.25,0,0.092061198510517,0.107891970336994,0.114162799924342
"val_1se",5,179.45,30,149.45,0,0.169247474322436,1,0.289104492434318,0.0268160982286367,0.169247474322436,0.89845536250052,1.88803374777498,6.25,87.890625,0,0.092061198510517,0.107891970336994,0.114162799924342
"val_1se",10,177.5,30,147.5,0,0.170840754555797,1,0.291456680865979,0.0258429481061121,0.170840754555797,0.936334234448812,1.96182636709242,5.05,71.015625,0,0.092061198510517,0.107891970336994,0.114162799924342
"val_1se",20,177.25,30,147.25,0,0.171081302636583,1,0.291801843266226,0.026014133377982,0.171081302636583,0.956102201514309,2.00096243374075,4.05,56.953125,0,0.092061198510517,0.107891970336994,0.114162799924342
"val_mse",1,385.8,30,355.8,0,0.08382737515786,1,0.153967336097912,0.0374850413353409,0.08382737515786,0.531558985535918,1.34599734859361,16.5,232.03125,0,0.0566119382259614,0.065085883180284,0.043781558786043
"val_mse",3,360.7,30,330.7,0,0.0910406473717549,1,0.165980766393467,0.0420782481838146,0.0910406473717549,0.649264282731064,1.49105753097473,9.75,137.109375,0,0.0566119382259614,0.065085883180284,0.043781558786043
"val_mse",5,348.6,30,318.6,0,0.0947224936206761,1,0.172046777035942,0.0442872853137321,0.0947224936206761,0.689123113518759,1.54955407025722,8.3,116.71875,0,0.0566119382259614,0.065085883180284,0.043781558786043
"val_mse",10,336.7,30,306.7,0,0.0978267316670265,1,0.177226114571906,0.0440296378314533,0.0978267316670265,0.728628122640116,1.60980339483133,7.05,99.140625,0,0.0566119382259614,0.065085883180284,0.043781558786043
"val_mse",20,327.7,30,297.7,0,0.0998477092024715,1,0.180599742887284,0.0433977973498917,0.0998477092024715,0.754275619336826,1.65279301152116,6.25,87.890625,0,0.0566119382259614,0.065085883180284,0.043781558786043
