"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
322,30,292,0,278,0.093167701863354,1,0.170454545454545,0.093167701863354,0.481176411873666,1.33968814021026,"val_mse",1,1,16,TRUE,322
148.2,30,118.2,0,451.8,0.202429149797571,1,0.336700336700337,0.202429149797571,0.854938205919263,1.91616216530131,"val_mse_localonly",1,1,16,TRUE,NA
290,30,260,0,310,0.103448275862069,1,0.1875,0.103448275862069,0.652320162482318,1.54340864089757,"val_mse",5,1,7,TRUE,290
148.2,30,118.2,0,451.8,0.202429149797571,1,0.336700336700337,0.202429149797571,0.854938205919263,1.91616216530131,"val_mse_localonly",5,1,7,TRUE,NA
292,30,262,0,308,0.102739726027397,1,0.186335403726708,0.102739726027397,0.689058605282738,1.59250229943418,"val_mse",20,1,4,TRUE,292
148.2,30,118.2,0,451.8,0.202429149797571,1,0.336700336700337,0.202429149797571,0.854938205919263,1.91616216530131,"val_mse_localonly",20,1,4,TRUE,NA
154,30,124,0,446,0.194805194805195,1,0.326086956521739,0.194805194805195,0.675677474919589,1.58858919276209,"val_1se",1,1,11,TRUE,154
77.7,30,47.7,0,522.3,0.386100386100386,1,0.557103064066852,0.386100386100386,0.936266563690374,2.14844852582983,"val_1se_localonly",1,1,11,TRUE,NA
30,30,0,0,570,1,1,1,1,0.659774842166674,1.59639526904898,"val_1se_thresh",1,1,11,TRUE,30
157,30,127,0,443,0.191082802547771,1,0.320855614973262,0.191082802547771,0.831378135774536,1.8489513405203,"val_1se",5,1,5,TRUE,157
77.7,30,47.7,0,522.3,0.386100386100386,1,0.557103064066852,0.386100386100386,0.936266563690374,2.14844852582983,"val_1se_localonly",5,1,5,TRUE,NA
30,30,0,0,570,1,1,1,1,0.811362895673559,1.84325805656457,"val_1se_thresh",5,1,5,TRUE,30
156,30,126,0,444,0.192307692307692,1,0.32258064516129,0.192307692307692,0.850788807835951,1.88798894818413,"val_1se",20,1,3,TRUE,156
77.7,30,47.7,0,522.3,0.386100386100386,1,0.557103064066852,0.386100386100386,0.936266563690374,2.14844852582983,"val_1se_localonly",20,1,3,TRUE,NA
30,30,0,0,570,1,1,1,1,0.829947408413245,1.87890925369737,"val_1se_thresh",20,1,3,TRUE,30
146,30,116,0,454,0.205479452054795,1,0.340909090909091,0.205479452054795,0.705210413541525,1.63964687896823,"BIC_corrected",1,1,10,TRUE,146
70.9,30,40.9,0,529.1,0.423131170662905,1,0.594648166501487,0.423131170662905,0.958064250169109,2.20837889750751,"BIC_corrected_localonly",1,1,10,TRUE,NA
30,30,0,0,570,1,1,1,1,0.692052695402667,1.64787387980325,"BIC_corrected_thresh",1,1,10,TRUE,30
145,30,115,0,455,0.206896551724138,1,0.342857142857143,0.206896551724138,0.86011308522556,1.9100229175728,"BIC_corrected",5,1,5,TRUE,145
70.9,30,40.9,0,529.1,0.423131170662905,1,0.594648166501487,0.423131170662905,0.958064250169109,2.20837889750751,"BIC_corrected_localonly",5,1,5,TRUE,NA
