"rule","E","n_rep","active","TP","FP","FN","precision","recall","F1","F1_se","jaccard","coef_err","test_mse","frac_FN"
"BIC_corrected_thresh",1,10,30.1,30,0.1,0,0.996774193548387,1,0.998360655737705,NA,0.996774193548387,0.891710909269416,1.84477568463015,0
"val_1se_thresh",1,10,30.3,30,0.3,0,0.990322580645161,1,0.995081967213115,NA,0.990322580645161,0.737183527182477,1.57670574829554,0
"oracle_F1",1,10,47.1,30,17.1,0,0.646210552876504,1,0.78252447655402,NA,0.646210552876504,3.8660273185415,15.5374058665441,0
"BIC_corrected_localonly",1,10,67.76,29.8,37.96,0.2,0.442364954857372,0.993333333333333,0.611319101794269,NA,0.4410794856708,1.29917039604593,3.5831524848326,1
"val_1se_localonly",1,10,74.09,30,44.09,0,0.408970937006048,1,0.579316555039844,NA,0.408970937006048,1.14773206994472,2.6573111201999,0
"BIC_corrected",1,10,129.5,30,99.5,0,0.23330757386394,1,0.377935109682435,NA,0.23330757386394,0.903402965677785,1.86310922336706,0
"val_mse_localonly",1,10,135.67,30,105.67,0,0.224638561918485,1,0.36601209384018,NA,0.224638561918485,1.02557507872344,2.30916723080863,0
"val_1se",1,10,160.8,30,130.8,0,0.189251105193442,1,0.317657546723144,NA,0.189251105193442,0.751613404751441,1.59803063035727,0
"val_mse",1,10,344.5,30,314.5,0,0.0882007572099367,1,0.161957698067964,NA,0.0882007572099367,0.526596525719351,1.31291438381132,0
"BIC_corrected_thresh",5,10,30.1,30,0.1,0,0.996774193548387,1,0.998360655737705,NA,0.996774193548387,1.11963931313448,2.31540120111354,0
"val_1se_thresh",5,10,30.1,30,0.1,0,0.996774193548387,1,0.998360655737705,NA,0.996774193548387,0.925113287353343,1.88129804980069,0
"oracle_F1",5,10,52.9,30,22.9,0,0.575067056390878,1,0.727906088141525,NA,0.575067056390878,4.07868368354751,17.1679470310765,0
"BIC_corrected_localonly",5,10,67.76,29.8,37.96,0.2,0.442364954857372,0.993333333333333,0.611319101794269,NA,0.4410794856708,1.29917039604593,3.5831524848326,1
"val_1se_localonly",5,10,74.09,30,44.09,0,0.408970937006048,1,0.579316555039844,NA,0.408970937006048,1.14773206994472,2.6573111201999,0
"val_mse_localonly",5,10,135.67,30,105.67,0,0.224638561918485,1,0.36601209384018,NA,0.224638561918485,1.02557507872344,2.30916723080863,0
"BIC_corrected",5,10,138.7,30,108.7,0,0.21747822362364,1,0.356960508421623,NA,0.21747822362364,1.13694896827083,2.35490204169811,0
"val_1se",5,10,162.7,30,132.7,0,0.187476133405085,1,0.315041176339526,NA,0.187476133405085,0.944488228602366,1.90910620214272,0
"val_mse",5,10,299,30,269,0,0.101752003096789,1,0.184503787486856,NA,0.101752003096789,0.699413749944953,1.50694576291787,0
"val_1se_thresh",20,10,30.1,30,0.1,0,0.996774193548387,1,0.998360655737705,NA,0.996774193548387,0.986996911135482,1.99818312594741,0
"BIC_corrected_thresh",20,10,30.2,30,0.2,0,0.993548387096774,1,0.99672131147541,NA,0.993548387096774,1.15921111218305,2.40160608396579,0
"oracle_F1",20,10,53.3,30,23.3,0,0.571691495259365,1,0.724943536511125,NA,0.571691495259365,4.09124229135851,17.2745366308868,0
"BIC_corrected_localonly",20,10,67.76,29.8,37.96,0.2,0.442364954857372,0.993333333333333,0.611319101794269,NA,0.4410794856708,1.29917039604593,3.5831524848326,1
"val_1se_localonly",20,10,74.09,30,44.09,0,0.408970937006048,1,0.579316555039844,NA,0.408970937006048,1.14773206994472,2.6573111201999,0
"val_mse_localonly",20,10,135.67,30,105.67,0,0.224638561918485,1,0.36601209384018,NA,0.224638561918485,1.02557507872344,2.30916723080863,0
"BIC_corrected",20,10,138.2,30,108.2,0,0.218520683895611,1,0.358306347014793,NA,0.218520683895611,1.17845227788494,2.45496996081407,0
"val_1se",20,10,162,30,132,0,0.188032597435808,1,0.315886439481356,NA,0.188032597435808,1.00971210612323,2.04151547151026,0
"val_mse",20,10,288.1,30,258.1,0,0.105335791836385,1,0.190406103831431,NA,0.105335791836385,0.788668093282049,1.63623461249514,0
