"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
280,30,250,0,320,0.107142857142857,1,0.193548387096774,0.107142857142857,0.648566728677334,1.53577747362321,"val_mse",5,1,6,TRUE,280
134.4,27.8,106.6,2.2,463.4,0.206845238095238,0.926666666666667,0.338199513381995,0.203513909224012,0.81081658786264,1.81254387882915,"val_mse_localonly",5,1,6,TRUE,NA
30.5,23.9,6.6,6.1,563.4,0.783606557377049,0.796666666666667,0.790082644628099,0.653005464480874,0.771534519204161,1.74798008461852,"val_mse_local_thresh",5,1,6,TRUE,NA
113,30,83,0,487,0.265486725663717,1,0.41958041958042,0.265486725663717,0.840850604873839,1.85329758065019,"val_1se",5,1,4,TRUE,113
59.9,25.7,34.2,4.3,535.8,0.429048414023372,0.856666666666667,0.57174638487208,0.400311526479751,0.902618639064188,2.03374610546808,"val_1se_localonly",5,1,4,TRUE,NA
21.3,19.6,1.7,10.4,568.3,0.92018779342723,0.653333333333333,0.764132553606238,0.618296529968454,0.956519166099446,2.14452907151001,"val_1se_local_thresh",5,1,4,TRUE,NA
25,25,0,5,570,1,0.833333333333333,0.909090909090909,0.833333333333333,0.852333923775958,1.89411522469119,"val_1se_thresh",5,1,4,TRUE,25
113,30,83,0,487,0.265486725663717,1,0.41958041958042,0.265486725663717,0.808852158554557,1.79624623342219,"BIC_corrected",5,1,4,TRUE,113
56.4,26,30.4,4,539.6,0.460992907801418,0.866666666666667,0.601851851851852,0.43046357615894,0.872809804183106,1.9472813775525,"BIC_corrected_localonly",5,1,4,TRUE,NA
23.3,20.9,2.4,9.1,567.6,0.896995708154506,0.696666666666667,0.784240150093809,0.645061728395062,0.916644584230036,2.02202010699799,"BIC_corrected_local_thresh",5,1,4,TRUE,NA
25,25,0,5,570,1,0.833333333333333,0.909090909090909,0.833333333333333,0.816606014677305,1.83803323704624,"BIC_corrected_thresh",5,1,4,TRUE,25
61,26,35,4,535,0.426229508196721,0.866666666666667,0.571428571428571,0.4,1.12805715809729,2.42709625482901,"path_best_F1",5,1,4,TRUE,61
257,30,227,0,343,0.116731517509728,1,0.209059233449477,0.116731517509728,0.707966730927689,1.50669376219742,"val_mse",5,2,6,TRUE,257
121.1,28.1,93,1.9,477,0.232039636663914,0.936666666666667,0.371939113170086,0.228455284552846,0.854936541095475,1.76970199262489,"val_mse_localonly",5,2,6,TRUE,NA
34.8,26,8.8,4,561.2,0.747126436781609,0.866666666666667,0.802469135802469,0.670103092783505,0.813002667103331,1.7538591490352,"val_mse_local_thresh",5,2,6,TRUE,NA
116,30,86,0,484,0.258620689655172,1,0.410958904109589,0.258620689655172,0.895596347981746,1.80127028569783,"val_1se",5,2,3,TRUE,116
61.2,26,35.2,4,534.8,0.42483660130719,0.866666666666667,0.570175438596491,0.398773006134969,0.953569913502863,1.98863602162055,"val_1se_localonly",5,2,3,TRUE,NA
21.3,20.2,1.1,9.8,568.9,0.948356807511737,0.673333333333333,0.787524366471735,0.64951768488746,1.00039409798025,2.05888993456183,"val_1se_local_thresh",5,2,3,TRUE,NA
26,26,0,4,570,1,0.866666666666667,0.928571428571429,0.866666666666667,0.915701630604134,1.80716341714384,"val_1se_thresh",5,2,3,TRUE,26
124,30,94,0,476,0.241935483870968,1,0.38961038961039,0.241935483870968,0.868720083216048,1.76070226344556,"BIC_corrected",5,2,4,TRUE,124
67,25.8,41.2,4.2,528.8,0.385074626865672,0.86,0.531958762886598,0.362359550561798,0.933429271992642,1.96865648101476,"BIC_corrected_localonly",5,2,4,TRUE,NA
22.3,20.7,1.6,9.3,568.4,0.928251121076233,0.69,0.791586998087954,0.65506329113924,0.969932582789496,2.00741678673187,"BIC_corrected_local_thresh",5,2,4,TRUE,NA
29,29,0,1,570,1,0.966666666666667,0.983050847457627,0.966666666666667,0.861366084949178,1.74144906550933,"BIC_corrected_thresh",5,2,4,TRUE,29
50,28,22,2,548,0.56,0.933333333333333,0.7,0.538461538461538,1.24480865770033,2.46349555544701,"path_best_F1",5,2,3,TRUE,50
259,30,229,0,341,0.115830115830116,1,0.207612456747405,0.115830115830116,0.72772050070659,1.81349088511825,"val_mse",5,3,6,TRUE,259
116.7,27.4,89.3,2.6,480.7,0.234790059982862,0.913333333333333,0.373551465576005,0.229673093042749,0.890738780095548,2.13155154796658,"val_mse_localonly",5,3,6,TRUE,NA
31.5,24.3,7.2,5.7,562.8,0.771428571428571,0.81,0.790243902439024,0.653225806451613,0.867999425807809,2.12649321830882,"val_mse_local_thresh",5,3,6,TRUE,NA
128,30,98,0,472,0.234375,1,0.379746835443038,0.234375,0.897300540894971,2.12847403477568,"val_1se",5,3,4,TRUE,128
58.3,26.1,32.2,3.9,537.8,0.447684391080617,0.87,0.591166477916195,0.419614147909968,0.986922398599774,2.33146100358888,"val_1se_localonly",5,3,4,TRUE,NA
21.7,18.8,2.9,11.2,567.1,0.866359447004608,0.626666666666667,0.727272727272727,0.571428571428572,1.05229863604583,2.49563251114817,"val_1se_local_thresh",5,3,4,TRUE,NA
23,23,0,7,570,1,0.766666666666667,0.867924528301887,0.766666666666667,0.943703503485761,2.25227435123747,"val_1se_thresh",5,3,4,TRUE,23
90,30,60,0,510,0.333333333333333,1,0.5,0.333333333333333,0.952872155064784,2.23693762735483,"BIC_corrected",5,3,3,TRUE,90
47.9,24.1,23.8,5.9,546.2,0.503131524008351,0.803333333333333,0.618741976893453,0.447955390334572,1.02701587491928,2.44260201664942,"BIC_corrected_localonly",5,3,3,TRUE,NA
19.3,17.2,2.1,12.8,567.9,0.89119170984456,0.573333333333333,0.697768762677485,0.53582554517134,1.09494230753105,2.65066054183356,"BIC_corrected_local_thresh",5,3,3,TRUE,NA
23,23,0,7,570,1,0.766666666666667,0.867924528301887,0.766666666666667,0.991056024917316,2.35247094683659,"BIC_corrected_thresh",5,3,3,TRUE,23
65,30,35,0,535,0.461538461538462,1,0.631578947368421,0.461538461538462,1.0981636491057,2.58912647307402,"path_best_F1",5,3,3,TRUE,65
295,30,265,0,305,0.101694915254237,1,0.184615384615385,0.101694915254237,0.716534485843683,1.57188171582825,"val_mse",5,4,8,TRUE,295
135.8,26.3,109.5,3.7,460.5,0.193667157584683,0.876666666666667,0.317249698431846,0.188530465949821,0.93814755398757,1.98670248718748,"val_mse_localonly",5,4,8,TRUE,NA
35.7,21.4,14.3,8.6,555.7,0.599439775910364,0.713333333333333,0.65144596651446,0.483069977426636,0.922231511453959,1.93799889534642,"val_mse_local_thresh",5,4,8,TRUE,NA
