"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
179,24,155,6,415,0.134078212290503,0.8,0.229665071770335,0.12972972972973,1.30257703473723,1.78033314115356,"val_mse",5,1,6,TRUE,179
88.1,12.6,75.5,17.4,494.5,0.143019296254257,0.42,0.21337849280271,0.119431279620853,1.35659804780899,1.90924269223441,"val_mse_localonly",5,1,6,TRUE,NA
12.9,11.2,1.7,18.8,568.3,0.868217054263566,0.373333333333333,0.522144522144522,0.353312302839117,1.32094734711401,1.8051900073627,"val_mse_local_thresh",5,1,6,TRUE,NA
83,23,60,7,510,0.27710843373494,0.766666666666667,0.407079646017699,0.255555555555556,1.46659401327023,1.90145066482233,"val_1se",5,1,5,TRUE,83
41.5,11.5,30,18.5,540,0.27710843373494,0.383333333333333,0.321678321678322,0.191666666666667,1.47917360393863,1.94491571339593,"val_1se_localonly",5,1,5,TRUE,NA
8,7,1,23,569,0.875,0.233333333333333,0.368421052631579,0.225806451612903,1.51552914033208,1.96570648751307,"val_1se_local_thresh",5,1,5,TRUE,NA
10,10,0,20,570,1,0.333333333333333,0.5,0.333333333333333,1.54033700195402,1.93405523565711,"val_1se_thresh",5,1,5,TRUE,10
1,1,0,29,570,1,0.0333333333333333,0.0645161290322581,0.0333333333333333,1.70036049838337,2.13559452533935,"BIC_corrected",5,1,2,TRUE,1
0.2,0.2,0,29.8,570,1,0.00666666666666667,0.0132450331125828,0.00666666666666667,1.70049899854658,2.13618348852888,"BIC_corrected_localonly",5,1,2,TRUE,NA
0.2,0.2,0,29.8,570,1,0.00666666666666667,0.0132450331125828,0.00666666666666667,1.70049899854658,2.13618348852888,"BIC_corrected_local_thresh",5,1,2,TRUE,NA
1,1,0,29,570,1,0.0333333333333333,0.0645161290322581,0.0333333333333333,1.70036049838337,2.13559452533935,"BIC_corrected_thresh",5,1,2,TRUE,1
197,23,174,7,396,0.116751269035533,0.766666666666667,0.202643171806167,0.112745098039216,1.45049028640329,1.86941061137269,"path_best_F1",5,1,6,TRUE,197
220,26,194,4,376,0.118181818181818,0.866666666666667,0.208,0.116071428571429,1.37833321874363,1.73792827074013,"val_mse",5,2,7,TRUE,220
106.6,12.8,93.8,17.2,476.2,0.120075046904315,0.426666666666667,0.187408491947291,0.103392568659128,1.45727210422641,1.92362806668437,"val_mse_localonly",5,2,7,TRUE,NA
14.3,9,5.3,21,564.7,0.629370629370629,0.3,0.406320541760722,0.254957507082153,1.42330546482179,1.84856683482296,"val_mse_local_thresh",5,2,7,TRUE,NA
58,17,41,13,529,0.293103448275862,0.566666666666667,0.386363636363636,0.23943661971831,1.57531426063228,1.93586856629608,"val_1se",5,2,4,TRUE,58
28.5,8,20.5,22,549.5,0.280701754385965,0.266666666666667,0.273504273504274,0.158415841584158,1.58853434733996,1.980652532232,"val_1se_localonly",5,2,4,TRUE,NA
3.5,3,0.5,27,569.5,0.857142857142857,0.1,0.17910447761194,0.0983606557377049,1.61838125269245,2.00038361419276,"val_1se_local_thresh",5,2,4,TRUE,NA
6,5,1,25,569,0.833333333333333,0.166666666666667,0.277777777777778,0.161290322580645,1.61697997721557,1.98043941741886,"val_1se_thresh",5,2,4,TRUE,6
28,8,20,22,550,0.285714285714286,0.266666666666667,0.275862068965517,0.16,1.65713734109611,2.02025092966093,"BIC_corrected",5,2,2,TRUE,28
8.2,3,5.2,27,564.8,0.365853658536585,0.1,0.157068062827225,0.0852272727272727,1.66462763576158,2.04935933260085,"BIC_corrected_localonly",5,2,2,TRUE,NA
2,0.7,1.3,29.3,568.7,0.35,0.0233333333333333,0.04375,0.0223642172523962,1.6846641441874,2.06867891324381,"BIC_corrected_local_thresh",5,2,2,TRUE,NA
1,1,0,29,570,1,0.0333333333333333,0.0645161290322581,0.0333333333333333,1.67780757478565,2.0491001811134,"BIC_corrected_thresh",5,2,2,TRUE,1
227,27,200,3,370,0.118942731277533,0.9,0.21011673151751,0.117391304347826,1.4346537398377,1.89523743284254,"path_best_F1",5,2,7,TRUE,227
287,25,262,5,308,0.0871080139372822,0.833333333333333,0.157728706624606,0.0856164383561644,1.28601780515168,1.87552689187747,"val_mse",5,3,7,TRUE,287
127.4,17.2,110.2,12.8,459.8,0.135007849293564,0.573333333333333,0.218551461245235,0.122681883024251,1.4252344849433,2.25150601255202,"val_mse_localonly",5,3,7,TRUE,NA
28,11.5,16.5,18.5,553.5,0.410714285714286,0.383333333333333,0.396551724137931,0.247311827956989,1.4318730621966,2.15077761782866,"val_mse_local_thresh",5,3,7,TRUE,NA
46,11,35,19,535,0.239130434782609,0.366666666666667,0.289473684210526,0.169230769230769,1.65150378349849,2.25549851770527,"val_1se",5,3,3,TRUE,46
12.6,3.8,8.8,26.2,561.2,0.301587301587302,0.126666666666667,0.178403755868545,0.0979381443298969,1.66232518060873,2.29117360987663,"val_1se_localonly",5,3,3,TRUE,NA
1.7,1.1,0.6,28.9,569.4,0.647058823529412,0.0366666666666667,0.0694006309148265,0.0359477124183007,1.67744152006305,2.30040583944455,"val_1se_local_thresh",5,3,3,TRUE,NA
1,1,0,29,570,1,0.0333333333333333,0.0645161290322581,0.0333333333333333,1.68778041526837,2.2779592597349,"val_1se_thresh",5,3,3,TRUE,1
57,17,40,13,530,0.298245614035088,0.566666666666667,0.390804597701149,0.242857142857143,1.55043746184978,2.10828921089093,"BIC_corrected",5,3,4,TRUE,57
28.3,8.9,19.4,21.1,550.6,0.314487632508834,0.296666666666667,0.305317324185249,0.180161943319838,1.56535770049544,2.15744886870824,"BIC_corrected_localonly",5,3,4,TRUE,NA
5.6,4.1,1.5,25.9,568.5,0.732142857142857,0.136666666666667,0.230337078651685,0.13015873015873,1.59671978231803,2.2219007092539,"BIC_corrected_local_thresh",5,3,4,TRUE,NA
7,7,0,23,570,1,0.233333333333333,0.378378378378378,0.233333333333333,1.58753453023452,2.18968935441733,"BIC_corrected_thresh",5,3,4,TRUE,7
102,21,81,9,489,0.205882352941176,0.7,0.318181818181818,0.189189189189189,1.50383906599372,2.05267354404388,"path_best_F1",5,3,4,TRUE,102
186,24,162,6,408,0.129032258064516,0.8,0.222222222222222,0.125,1.31414681036271,1.61483851832604,"val_mse",5,4,6,TRUE,186
89.3,14.2,75.1,15.8,494.9,0.159014557670773,0.473333333333333,0.238055322715842,0.135109419600381,1.40314251075396,1.81182754692207,"val_mse_localonly",5,4,6,TRUE,NA
20.7,10.6,10.1,19.4,559.9,0.51207729468599,0.353333333333333,0.418145956607495,0.264339152119701,1.40041934213823,1.74589261544747,"val_mse_local_thresh",5,4,6,TRUE,NA
28,9,19,21,551,0.321428571428571,0.3,0.310344827586207,0.183673469387755,1.60390689083083,1.7903860210171,"val_1se",5,4,3,TRUE,28
