"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
259,30,229,0,341,0.115830115830116,1,0.207612456747405,0.115830115830116,0.640511257330185,1.60363972613588,"val_mse",5,1,6,TRUE,259
127.9,25.6,102.3,4.4,467.7,0.200156372165754,0.853333333333333,0.324255858138062,0.193499622071051,0.774653171347123,2.07258276091955,"val_mse_localonly",5,1,6,TRUE,NA
29.1,22.1,7,7.9,563,0.759450171821306,0.736666666666667,0.747884940778342,0.597297297297297,0.763476586126376,2.11971369016856,"val_mse_local_thresh",5,1,6,TRUE,NA
94,30,64,0,506,0.319148936170213,1,0.483870967741935,0.319148936170213,0.821812979121235,1.86383418301623,"val_1se",5,1,3,TRUE,94
49.6,21,28.6,9,541.4,0.423387096774194,0.7,0.527638190954774,0.358361774744027,0.857969197054975,2.24344411567611,"val_1se_localonly",5,1,3,TRUE,NA
20,19.2,0.8,10.8,569.2,0.96,0.64,0.768,0.623376623376623,0.872285742093496,2.29606060734246,"val_1se_local_thresh",5,1,3,TRUE,NA
29,29,0,1,570,1,0.966666666666667,0.983050847457627,0.966666666666667,0.828390941400674,1.89897100072038,"val_1se_thresh",5,1,3,TRUE,29
96,30,66,0,504,0.3125,1,0.476190476190476,0.3125,0.767899766870658,1.78055815706756,"BIC_corrected",5,1,3,TRUE,96
48.8,22.1,26.7,7.9,543.3,0.452868852459016,0.736666666666667,0.560913705583756,0.389770723104056,0.813697062430385,2.1176461759031,"BIC_corrected_localonly",5,1,3,TRUE,NA
22.8,20.8,2,9.2,568,0.912280701754386,0.693333333333333,0.787878787878788,0.65,0.82305114993141,2.1486157042083,"BIC_corrected_local_thresh",5,1,3,TRUE,NA
30,30,0,0,570,1,1,1,1,0.760563956995959,1.77659953900912,"BIC_corrected_thresh",5,1,3,TRUE,30
89,30,59,0,511,0.337078651685393,1,0.504201680672269,0.337078651685393,1.01951263194568,2.32407978718917,"path_best_F1",5,1,4,TRUE,89
209,30,179,0,391,0.143540669856459,1,0.251046025104602,0.143540669856459,0.678450655538892,1.68366426283335,"val_mse",5,2,5,TRUE,209
101.3,23.7,77.6,6.3,492.4,0.23395853899309,0.79,0.361005331302361,0.220260223048327,0.767604812920272,2.0667005816257,"val_mse_localonly",5,2,5,TRUE,NA
28.8,23.1,5.7,6.9,564.3,0.802083333333333,0.77,0.785714285714286,0.647058823529412,0.739166277057009,2.08947987073052,"val_mse_local_thresh",5,2,5,TRUE,NA
102,30,72,0,498,0.294117647058824,1,0.454545454545455,0.294117647058824,0.774198981950249,1.82217729394382,"val_1se",5,2,4,TRUE,102
56.1,23.4,32.7,6.6,537.3,0.417112299465241,0.78,0.543554006968641,0.373205741626794,0.815324123903545,2.1432381418635,"val_1se_localonly",5,2,4,TRUE,NA
21.3,21,0.3,9,569.7,0.985915492957746,0.7,0.818713450292398,0.693069306930693,0.832872251161455,2.17154734014106,"val_1se_local_thresh",5,2,4,TRUE,NA
30,30,0,0,570,1,1,1,1,0.76814154993908,1.81932512882524,"val_1se_thresh",5,2,4,TRUE,30
116,30,86,0,484,0.258620689655172,1,0.410958904109589,0.258620689655172,0.756793183295606,1.7971308487477,"BIC_corrected",5,2,4,TRUE,116
63.2,24.4,38.8,5.6,531.2,0.386075949367089,0.813333333333333,0.523605150214592,0.354651162790698,0.807776990387098,2.14495030499445,"BIC_corrected_localonly",5,2,4,TRUE,NA
22.6,21,1.6,9,568.4,0.929203539823009,0.7,0.798479087452471,0.664556962025316,0.830919933163907,2.19243236096908,"BIC_corrected_local_thresh",5,2,4,TRUE,NA
30,30,0,0,570,1,1,1,1,0.744962005715,1.78861654829656,"BIC_corrected_thresh",5,2,4,TRUE,30
86,30,56,0,514,0.348837209302326,1,0.517241379310345,0.348837209302326,1.12805923867738,2.43219765365544,"path_best_F1",5,2,4,TRUE,86
261,30,231,0,339,0.114942528735632,1,0.206185567010309,0.114942528735632,0.639795627911201,2.11098825624135,"val_mse",5,3,6,TRUE,261
115.2,26.5,88.7,3.5,481.3,0.230034722222222,0.883333333333333,0.365013774104683,0.223251895534962,0.795381179340557,2.61194113662018,"val_mse_localonly",5,3,6,TRUE,NA
31.8,24.4,7.4,5.6,562.6,0.767295597484277,0.813333333333333,0.789644012944984,0.652406417112299,0.751924491177607,2.44664465622673,"val_mse_local_thresh",5,3,6,TRUE,NA
118,30,88,0,482,0.254237288135593,1,0.405405405405405,0.254237288135593,0.765951378652654,2.22052094266154,"val_1se",5,3,4,TRUE,118
55.8,25.2,30.6,4.8,539.4,0.451612903225806,0.84,0.587412587412587,0.415841584158416,0.845849882977082,2.55567357435517,"val_1se_localonly",5,3,4,TRUE,NA
