"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
237,29,208,1,362,0.122362869198312,0.966666666666667,0.217228464419476,0.121848739495798,1.01341131363716,1.70584761956641,"val_mse",5,1,6,TRUE,237
117.1,21.2,95.9,8.8,474.1,0.181041844577284,0.706666666666667,0.288239292997961,0.168387609213662,1.11983143535606,1.95612928523419,"val_mse_localonly",5,1,6,TRUE,NA
21,16.1,4.9,13.9,565.1,0.766666666666667,0.536666666666667,0.631372549019608,0.461318051575931,1.10266848807685,1.87939662682843,"val_mse_local_thresh",5,1,6,TRUE,NA
70,24,46,6,524,0.342857142857143,0.8,0.48,0.315789473684211,1.31073927989543,2.1192160631336,"val_1se",5,1,4,TRUE,70
34.9,12.6,22.3,17.4,547.7,0.361031518624642,0.42,0.38828967642527,0.240917782026769,1.33385545917987,2.23366772406621,"val_1se_localonly",5,1,4,TRUE,NA
12.8,11.8,1,18.2,569,0.921875,0.393333333333333,0.551401869158879,0.380645161290323,1.3277209175067,2.21273753567866,"val_1se_local_thresh",5,1,4,TRUE,NA
19,19,0,11,570,1,0.633333333333333,0.775510204081633,0.633333333333333,1.33999087745302,2.13257156121533,"val_1se_thresh",5,1,4,TRUE,19
67,23,44,7,526,0.343283582089552,0.766666666666667,0.474226804123711,0.310810810810811,1.31234017947395,2.09988487148501,"BIC_corrected",5,1,3,TRUE,67
33.9,14.8,19.1,15.2,550.9,0.436578171091445,0.493333333333333,0.463223787167449,0.30142566191446,1.33233471116592,2.1898772443079,"BIC_corrected_localonly",5,1,3,TRUE,NA
13.9,12.3,1.6,17.7,568.4,0.884892086330935,0.41,0.560364464692483,0.389240506329114,1.3487177088346,2.2127908865735,"BIC_corrected_local_thresh",5,1,3,TRUE,NA
19,19,0,11,570,1,0.633333333333333,0.775510204081633,0.633333333333333,1.33449479029814,2.11331079716323,"BIC_corrected_thresh",5,1,3,TRUE,19
106,22,84,8,486,0.207547169811321,0.733333333333333,0.323529411764706,0.192982456140351,1.42009215467044,2.26456620827882,"path_best_F1",5,1,4,TRUE,106
257,30,227,0,343,0.116731517509728,1,0.209059233449477,0.116731517509728,1.12447778872136,1.76786463412879,"val_mse",5,2,7,TRUE,257
132.8,22,110.8,8,459.2,0.16566265060241,0.733333333333333,0.27027027027027,0.15625,1.23504258019528,2.0335576742917,"val_mse_localonly",5,2,7,TRUE,NA
23.8,14.7,9.1,15.3,560.9,0.617647058823529,0.49,0.546468401486989,0.375959079283887,1.24446611213647,2.02355156005529,"val_mse_local_thresh",5,2,7,TRUE,NA
