condition,E,n_rep,mean_recall,mean_F1,sd_F1,mean_jacc,mean_prec,mean_FDR,mean_FNR,mean_coef,sd_coef,mean_tmse,sd_tmse,mean_rounds,mean_kib,mean_active,mean_active_eps1e3,mean_F1_eps1e3,mean_jacc_eps1e3,mean_active_eps1e2,mean_F1_eps1e2,mean_jacc_eps1e2,frac_converged,se_F1,F1_lo,F1_hi,se_tmse,tmse_lo,tmse_hi,se_coef
Correlated,1,100,1,0.099816146,0.01000906,0.052559181,0.052559181,0.947440819,0,0.896415402,0.344435427,1.500051413,0.509400897,43,604.6875,575.62,538.38,0.106339331,0.056188372,273.65,0.199731131,0.111100635,1,0.001000906,0.097854371,0.101777922,0.05094009,1.400208837,1.599893989,0.034443543
Correlated,2,100,1,0.100329684,0.011063478,0.052850307,0.052850307,0.947149693,0,1.040333102,0.346136024,1.598333024,0.502333359,27.21,382.640625,573.41,536.02,0.106955776,0.056540273,273.87,0.19916945,0.110733308,1,0.001106348,0.098161243,0.102498126,0.050233336,1.499875686,1.696790363,0.034613602
Correlated,3,100,1,0.101420028,0.012751786,0.05346693,0.05346693,0.94653307,0,1.132245452,0.339732065,1.674683852,0.487240948,22.06,310.21875,568.43,530.7,0.108213256,0.057254515,276.27,0.197374898,0.109602212,1,0.001275179,0.098920678,0.103919378,0.048724095,1.579184626,1.770183078,0.033973206
Correlated,5,100,1,0.103427124,0.014546991,0.054596456,0.054596456,0.945403544,0,1.239143034,0.3277121,1.773817981,0.472177049,17.41,244.828125,558.52,521.74,0.11026331,0.058415983,278.65,0.195749157,0.108589298,1,0.001454699,0.100575914,0.106278334,0.047217705,1.68127128,1.866364683,0.03277121
Correlated,8,100,1,0.105639399,0.016102531,0.055842381,0.055842381,0.944157619,0,1.325928235,0.317928337,1.862817892,0.468549631,14.31,201.234375,547.75,511.41,0.112637599,0.059761152,278.91,0.195612682,0.108504441,1,0.001610253,0.102483303,0.108795495,0.046854963,1.770982165,1.95465362,0.031792834
Correlated,10,100,1,0.106766693,0.016583225,0.056475787,0.056475787,0.943524213,0,1.363254083,0.313611388,1.903106036,0.467460796,13.23,186.046875,542.16,505.96,0.11386335,0.060453664,279.66,0.195094729,0.108182322,1,0.001658323,0.103516381,0.110017005,0.04674608,1.81148372,1.994728352,0.031361139
Correlated,15,100,1,0.109160263,0.017244065,0.057819896,0.057819896,0.942180104,0,1.42667147,0.310277397,1.974749317,0.474410361,11.78,165.65625,530.29,494.78,0.116445036,0.061915696,278.56,0.195833312,0.108638079,1,0.001724406,0.105780427,0.1125401,0.047441036,1.881764886,2.067733747,0.03102774
Correlated,20,100,1,0.110914891,0.017619055,0.058806407,0.058806407,0.941193593,0,1.467591621,0.309940502,2.022353057,0.482272766,10.96,154.125,521.75,486.34,0.118358375,0.062996871,278.25,0.196023945,0.108754567,1,0.001761905,0.107461556,0.114368226,0.048227277,1.927827594,2.116878519,0.03099405
HighNoise,1,100,1,0.107174475,0.029360127,0.056884668,0.056884668,0.943115332,0,1.048337648,0.104377915,5.186648167,0.595614714,20.39,286.734375,554.81,528.3,0.112223352,0.059735326,316.51,0.179533984,0.099134909,1,0.002936013,0.10141989,0.11292906,0.059561471,5.069907683,5.30338865,0.010437792
HighNoise,2,100,1,0.108421887,0.031811557,0.057628435,0.057628435,0.942371565,0,1.151564687,0.111728272,5.417815243,0.61343768,13.97,196.453125,551.47,523.74,0.113635774,0.060564983,319.45,0.178640743,0.098638233,1,0.003181156,0.102186822,0.114656953,0.061343768,5.297581458,5.538049028,0.011172827
HighNoise,3,100,1,0.110100917,0.033563804,0.058604141,0.058604141,0.941395859,0,1.198246457,0.1202594,5.532639142,0.635251147,11.92,167.625,544.84,515.9,0.115738742,0.061791287,317.49,0.179646713,0.099247845,1,0.00335638,0.103522411,0.116679422,0.063525115,5.408129917,5.657148366,0.01202594
HighNoise,5,100,1,0.112630546,0.034463855,0.060042837,0.060042837,0.939957163,0,1.237520099,0.13089057,5.635373116,0.660449991,10.42,146.53125,532.61,503.8,0.118394231,0.063299763,312.22,0.182430396,0.100934669,1,0.003446386,0.10587563,0.119385462,0.066044999,5.505924918,5.764821314,0.013089057
HighNoise,8,100,1,0.115487178,0.035069865,0.061663511,0.061663511,0.938336489,0,1.258481451,0.139769351,5.693697097,0.676317609,9.69,136.265625,519.05,488.66,0.121908933,0.065303038,306.04,0.185566952,0.10282192,1,0.003506986,0.108613485,0.122360872,0.067631761,5.561138846,5.826255348,0.013976935
HighNoise,10,100,1,0.117136753,0.035372414,0.062600719,0.062600719,0.937399281,0,1.264685817,0.143354658,5.711019185,0.680489348,9.45,132.890625,511.43,480.38,0.123876205,0.06642379,302.66,0.187180945,0.103785643,1,0.003537241,0.11020376,0.124069746,0.068048935,5.577643273,5.844395097,0.014335466
HighNoise,15,100,1,0.120640005,0.03523626,0.064578736,0.064578736,0.935421264,0,1.271840296,0.148567327,5.730000874,0.686135601,9.21,129.515625,495.17,464.32,0.127736778,0.0686186,295.24,0.191045316,0.106115743,1,0.003523626,0.113733698,0.127546312,0.06861356,5.595518297,5.864483452,0.014856733
HighNoise,20,100,1,0.123466693,0.035090305,0.066179544,0.066179544,0.933820456,0,1.275045416,0.151169843,5.737323973,0.690004337,9.12,128.25,482.55,452.1,0.130774883,0.070349352,288.93,0.194697334,0.108347531,1,0.00350903,0.116588993,0.130344392,0.069000434,5.602083123,5.872564823,0.015116984
IID,1,100,1,0.141581745,0.03810941,0.076635922,0.076635922,0.923364078,0,0.51738662,0.048147394,1.288057671,0.14661921,17.43,245.109375,424.7,386.02,0.153807682,0.083814458,163.66,0.321061132,0.192713671,1,0.003810941,0.1341123,0.149051189,0.014661921,1.259320306,1.316795037,0.004814739
IID,2,100,1,0.148646781,0.041521789,0.080832268,0.080832268,0.919167732,0,0.590058493,0.061926564,1.370369306,0.160306368,11.93,167.765625,406.69,367.24,0.162032032,0.088748819,162.41,0.322136916,0.193306768,1,0.004152179,0.14050851,0.156785052,0.016030637,1.338949258,1.401789354,0.006192656
IID,3,100,1,0.154268074,0.043080633,0.084167985,0.084167985,0.915832015,0,0.625632291,0.070716133,1.414532664,0.170127994,10.16,142.875,391.59,353.26,0.167856614,0.092232674,163.56,0.318787716,0.19071752,1,0.004308063,0.14582427,0.162711878,0.017012799,1.381187577,1.447877751,0.007071613
