"rule","E","n_rep","active","TP","FP","FN","precision","recall","F1","F1_se","F1_low","F1_high","jaccard","coef_err","test_mse","frac_FN"
"BIC_corrected_thresh",5,100,25.76,25.6,0.16,4.4,0.994215505628965,0.853333333333333,0.916985017462816,0.00362622565134825,0.909877615186173,0.924092419739458,0.848761424731183,0.926111380049571,1.87446235697298,1
"val_1se_thresh",5,100,25.26,25.1,0.16,4.9,0.993991952722878,0.836666666666667,0.907138435718533,0.00384856742803867,0.899595243559577,0.914681627877489,0.832305107526882,0.948018497208625,1.91611749410529,1
"val_mse_local_thresh",5,100,31.035,23.198,7.837,6.802,0.757333729635624,0.773266666666667,0.761744563645953,0.00428457250867291,0.753346801528954,0.770142325762951,0.617062824772826,0.870102947521719,1.85157512113592,1
"BIC_corrected_local_thresh",5,100,20.979,19.174,1.805,10.826,0.916227196922317,0.639133333333333,0.750702530472918,0.00436233785490218,0.74215234827731,0.759252712668526,0.602815998920224,1.02343465923001,2.14355203773587,1
"val_1se_local_thresh",5,100,20.092,18.528,1.564,11.472,0.923706786761511,0.6176,0.738169322802819,0.0047018062720809,0.72895378250954,0.747384863096097,0.587159571340238,1.04883443557737,2.19233232235439,1
"path_best_F1",5,100,59.4,28.18,31.22,1.82,0.491576561914279,0.939333333333333,0.639866135995097,0.00754265528400463,0.625082531638448,0.654649740351746,0.474852438130891,1.15319660982278,2.33971166844415,1
"BIC_corrected_localonly",5,100,50.601,24.209,26.392,5.791,0.488521384048064,0.806966666666667,0.604328267291992,0.00461783043746206,0.595277319634566,0.613379214949417,0.434556740555305,0.986589684636884,2.05770720075712,1
"val_1se_localonly",5,100,50.936,24.254,26.682,5.746,0.487399445823269,0.808466666666667,0.603655670985377,0.00528019384503293,0.593306491049112,0.614004850921641,0.434333906812798,1.00374255118997,2.09189445451765,1
"BIC_corrected",5,100,98.63,29.63,69,0.37,0.312970402370573,0.987666666666667,0.471276532738996,0.00730745202194842,0.456953926775977,0.485599138702015,0.311396825768193,0.912002394621592,1.8436456053433,1
"val_1se",5,100,102.75,29.63,73.12,0.37,0.304542822338899,0.987666666666667,0.460858285511779,0.00804348002817158,0.445093064656563,0.476623506366996,0.303019592856924,0.930200958846274,1.8786189361609,1
"val_mse_localonly",5,100,115.171,27.339,87.832,2.661,0.24338753278246,0.9113,0.38239257546505,0.0045290914768966,0.373515556170332,0.391269594759767,0.237356323589639,0.884478226040206,1.86059565359135,1
"val_mse",5,100,263.48,29.96,233.52,0.04,0.119535129294374,0.998666666666667,0.212604860110546,0.00404182653473188,0.204682880102472,0.220526840118621,0.119512406873509,0.696610231814729,1.4969197085742,1
