"rule","E","n_rep","active","TP","FP","FN","precision","recall","F1","F1_se","jaccard","coef_err","test_mse","frac_FN"
"val_mse_local_thresh",5,30,14.7566666666667,9.30666666666667,5.45,20.6933333333333,0.662837975322213,0.310222222222222,0.406417669010248,NA,0.260369098610106,1.43396883106407,1.81845531978122,1
"BIC_corrected",5,30,30.4333333333333,10.7,19.7333333333333,19.3,0.482388168314605,0.356666666666667,0.326315955296019,NA,0.200121236127691,1.60464110484428,1.90197028241209,1
"val_1se",5,30,38.3333333333333,11.3666666666667,26.9666666666667,18.6333333333333,0.351095131641715,0.378888888888889,0.280400897023279,NA,0.173506194879367,1.60627066041457,1.90425323709398,1
"path_best_F1",5,30,142.666666666667,21.5666666666667,121.1,8.43333333333333,0.17337109147186,0.718888888888889,0.270316252851427,NA,0.15805232054052,1.52000410135889,1.83245388966431,1
"val_mse_localonly",5,30,92.9366666666667,15.0733333333333,77.8633333333333,14.9266666666667,0.1770641086564,0.502444444444444,0.246981622139902,NA,0.141496866550517,1.4226970985358,1.87375162652393,1
"BIC_corrected_thresh",5,30,4.46666666666667,4.23333333333333,0.233333333333333,25.7666666666667,0.962367724867725,0.141111111111111,0.229236204895348,NA,0.139175627240143,1.63619332285521,1.93414530225078,1
"val_mse",5,30,202.033333333333,24.5333333333333,177.5,5.46666666666667,0.137286081047179,0.817777777777778,0.224856614033795,NA,0.127734946131028,1.34779889455236,1.67732004860244,1
"BIC_corrected_localonly",5,30,14.5533333333333,5.44666666666667,9.10666666666667,24.5533333333333,0.512072660096321,0.181555555555556,0.224126854938964,NA,0.129692488251,1.61346854693681,1.93101481115387,1
"val_1se_thresh",5,30,4.1,3.93333333333333,0.166666666666667,26.0666666666667,0.968478260869565,0.131111111111111,0.209886089530552,NA,0.129856630824373,1.6397741569836,1.94382076531745,1
"val_1se_localonly",5,30,18.4,5.67,12.73,24.33,0.363398300155957,0.189,0.20254230352513,NA,0.11803003743753,1.61510135021963,1.93407172134009,1
"BIC_corrected_local_thresh",5,30,3.6,3.00333333333333,0.596666666666667,26.9966666666667,0.857505527141633,0.100111111111111,0.169911152369024,NA,0.0972552266612221,1.63031979208337,1.94487543935724,1
"val_1se_local_thresh",5,30,3.27666666666667,2.7,0.576666666666667,27.3,0.818834985599314,0.09,0.150875956455127,NA,0.0870879472393621,1.63465181557424,1.95231907877085,1
