"rule","E","n_rep","active","TP","FP","FN","precision","recall","F1","F1_se","jaccard","coef_err","test_mse","frac_FN"
"BIC_corrected_thresh",5,30,29.4333333333333,29.4,0.0333333333333333,0.6,0.998924731182796,0.98,0.989146662538344,NA,0.978924731182796,0.774952736696835,1.79281334778038,1
"val_1se_thresh",5,30,29.3666666666667,29.3,0.0666666666666667,0.7,0.997849462365591,0.976666666666667,0.986905299196675,NA,0.974516129032258,0.797252839635811,1.83127770027268,1
"BIC_corrected_local_thresh",5,30,22.1833333333333,20.5733333333333,1.61,9.42666666666667,0.930399420868597,0.685777777777778,0.788505294168036,NA,0.651632061406938,0.847571947714885,2.18871524663347,1
"val_1se_local_thresh",5,30,21.07,20.0266666666667,1.04333333333333,9.97333333333333,0.951970563870304,0.667555555555556,0.78374849328701,NA,0.645491076231739,0.86528964894396,2.22245490033342,1
"val_mse_local_thresh",5,30,30.2666666666667,22.7133333333333,7.55333333333333,7.28666666666667,0.761249574634429,0.757111111111111,0.756124542278392,NA,0.609955748619924,0.769252803900796,2.07547090013513,1
"path_best_F1",5,30,69.3,29.7333333333333,39.5666666666667,0.266666666666667,0.444631668888758,0.991111111111111,0.608867478706144,NA,0.442548186776709,1.04253563348933,2.27477829013962,1
"val_1se_localonly",5,30,46.0233333333333,22.53,23.4933333333333,7.47,0.49996476664414,0.751,0.596517033043412,NA,0.426709191814355,0.847520189364082,2.16837935024903,1
"BIC_corrected_localonly",5,30,47.7633333333333,22.76,25.0033333333333,7.24,0.489193669947945,0.758666666666667,0.590327297160639,NA,0.420893345879367,0.834743364046682,2.15008320445328,1
"val_1se",5,30,88.2,30,58.2,0,0.354633887498652,1,0.519282006605482,NA,0.354633887498652,0.795198618085397,1.82254236770682,0
"BIC_corrected",5,30,91.7333333333333,30,61.7333333333333,0,0.342266942829249,1,0.505058121882489,NA,0.342266942829249,0.776315051617757,1.79551265921638,0
"val_mse_localonly",5,30,112.573333333333,25.1933333333333,87.38,4.80666666666667,0.229219890484549,0.839777777777778,0.358509452958217,NA,0.219327767500067,0.792710065990735,2.09964226066221,1
"val_mse",5,30,257.666666666667,30,227.666666666667,0,0.123242440492998,1,0.218336330065547,NA,0.123242440492998,0.63065027632493,1.5870683577989,0
