scenario,rep,lam,L_max,common_setup_scalar_bytes,dual_rate_setup_scalar_bytes,dual_all_E_vector_bytes,dual_all_E_all_checkpoints_validation_scalar_bytes,cd_all_E_vector_bytes,local_penalty_grid_fits_per_site,dual_local_gram_builds_per_site,dual_total_gradient_evaluations_per_site,cd_total_coordinate_sweeps_per_site,reference_kkt_mapping
IID,5000,0.3596450198881253,8.45756145698442,24,24,12960000,1080,4320000,30,3,7800,2600,6.975243299622846e-12
IID,5001,0.4300981548333719,8.445629218284136,24,24,12960000,1080,4320000,30,3,7800,2600,3.974237605675057e-12
IID,5002,0.49582798278883405,8.477654152451192,24,24,12960000,1080,4320000,30,3,7800,2600,9.28590537796481e-13
IID,5003,0.5016540763893101,8.356365971439107,24,24,12960000,1080,4320000,30,3,7800,2600,7.309319816073412e-12
IID,5004,0.3408027849814224,8.290401810978178,24,24,12960000,1080,4320000,30,3,7800,2600,4.6546655418922e-12
IID,5005,0.4520194020892022,8.506135959218978,24,24,12960000,1080,4320000,30,3,7800,2600,3.021805028424751e-12
IID,5006,0.46790637348863773,8.519757318072388,24,24,12960000,1080,4320000,30,3,7800,2600,3.832600903308503e-12
IID,5007,0.45299096846426484,8.312228746378777,24,24,12960000,1080,4320000,30,3,7800,2600,5.355882404245449e-12
IID,5008,0.3746259812863127,8.501323508193556,24,24,12960000,1080,4320000,30,3,7800,2600,3.691602579181108e-12
IID,5009,0.3859429822983293,8.24969935962348,24,24,12960000,1080,4320000,30,3,7800,2600,6.902145521792136e-12
IID,5010,0.35452002300665386,8.406004098749353,24,24,12960000,1080,4320000,30,3,7800,2600,2.0192958416487272e-11
IID,5011,0.40764108493474455,8.522433834988933,24,24,12960000,1080,4320000,30,3,7800,2600,4.089228955450608e-12
IID,5012,0.2964791021686863,8.2867906747633,24,24,12960000,1080,4320000,30,3,7800,2600,2.3193919007624686e-11
IID,5013,0.7323989254263623,8.358602894278324,24,24,12960000,1080,4320000,30,3,7800,2600,8.047035260361213e-13
IID,5014,0.2529705733210518,8.478810320148153,24,24,12960000,1080,4320000,30,3,7800,2600,1.1169823746493002e-11
IID,5015,0.3692237624048542,8.572497488543318,24,24,12960000,1080,4320000,30,3,7800,2600,3.5663694220033904e-12
