scenario,method,E,rounds,n,F1_mean,F1_se,active_mean,active_se,objective_gap_mean,objective_gap_se,kkt_mapping_mean,kkt_mapping_se,test_mse_mean,test_mse_se
Correlated,FedAvg-CD-common,1,5,50,0.23474166076545497,0.007344964479263997,217.92,7.431529081541423,1.6700080571708844,0.036910678978247,0.2065156891416431,0.007073291808342104,29.005694062873566,0.5151449155425155
Correlated,FedAvg-CD-common,1,10,50,0.23502436455303397,0.007317076633767637,217.56,7.435939203404953,1.6646115656297418,0.036980244739391425,0.20557563272079377,0.007008019495200727,28.98995278768008,0.5176310321237995
Correlated,FedAvg-CD-common,1,20,50,0.23503518274552995,0.007316118235318622,217.54,7.429901529273042,1.6645428288129045,0.0369844307820268,0.20555562684375583,0.007005913959794283,28.989710515852607,0.5176909451777484
Correlated,FedAvg-CD-common,1,50,50,0.23503518274552995,0.007316118235318622,217.54,7.429901529273042,1.664542538702378,0.03698438799043016,0.20555557556662193,0.007005909724956209,28.98970961214026,0.5176909404219857
Correlated,FedAvg-CD-common,1,100,50,0.23503518274552995,0.007316118235318622,217.54,7.429901529273042,1.6645425387023978,0.03698438799043201,0.205555575566625,0.007005909724956488,28.989709612140246,0.5176909404219843
Correlated,FedAvg-CD-common,5,5,50,0.277816469818269,0.007522259798621432,173.02,5.731651469814662,1.5303587090762232,0.03436283574716647,0.22587502712669935,0.007683270825800772,29.549017598275412,0.5112182231964837
Correlated,FedAvg-CD-common,5,10,50,0.277816469818269,0.007522259798621432,173.02,5.731651469814662,1.530358499124541,0.03436282467221658,0.22587482401397696,0.00768324721079507,29.549016786591903,0.5112181631366871
Correlated,FedAvg-CD-common,5,20,50,0.277816469818269,0.007522259798621432,173.02,5.731651469814662,1.5303584991319716,0.0343628246758997,0.22587482400807854,0.007683247209975929,29.54901678656368,0.5112181631354022
Correlated,FedAvg-CD-common,5,50,50,0.277816469818269,0.007522259798621432,173.02,5.731651469814662,1.530358499131972,0.03436282467589975,0.22587482400807846,0.007683247209975937,29.549016786563676,0.5112181631354022
Correlated,FedAvg-CD-common,5,100,50,0.277816469818269,0.007522259798621432,173.02,5.731651469814662,1.530358499131972,0.03436282467589972,0.2258748240080785,0.007683247209975935,29.54901678656368,0.5112181631354022
