scenario,method,E,rounds,n,F1_mean,F1_se,active_mean,active_se,objective_gap_mean,objective_gap_se,kkt_mapping_mean,kkt_mapping_se,test_mse_mean,test_mse_se,total_upload_bytes,cap_upload_bytes,unused_upload_bytes
Correlated,FedAvg-CD-common,1,100,50,0.23503518274553004,0.007316118235318621,217.54,7.42990152927304,1.664542538702398,0.03698438799043201,0.20555557556662504,0.007005909724956488,28.989709612140246,0.5176909404219843,1440024.0,1440120,96.0
Correlated,FedAvg-CD-common,5,100,50,0.2778164698182691,0.007522259798621432,173.02,5.73165146981466,1.5303584991319719,0.03436282467589972,0.2258748240080785,0.007683247209975935,29.54901678656368,0.5112181631354022,1440024.0,1440120,96.0
Correlated,FedAvg-CD-common,20,100,50,0.2820289827770394,0.007464920148700808,168.52,5.2380273588675434,1.5477247677231043,0.03519743472851459,0.22928225346025471,0.007677683398888595,29.58837371640108,0.5105646272526772,1440024.0,1440120,96.0
Correlated,FedDualAvg-adapted,1,20,50,0.6115381258127616,0.013418598796797857,56.54,2.917954273606278,0.12184674180295833,0.00852409832118234,0.1409967940389251,0.004079543750738031,28.889902454971462,0.5147915095490743,864120.0,1440120,576000.0
Correlated,FedDualAvg-adapted,5,20,50,0.7418510062730426,0.010207442267337004,38.74,1.5889439439901134,0.005035056517075191,0.0004828983852619669,0.038624712152938126,0.001415186560575892,27.577839828751934,0.530198946466508,864120.0,1440120,576000.0
Correlated,FedDualAvg-adapted,20,20,50,0.7490215831617709,0.009849823106774127,37.84,1.5089826279412801,0.009809319098325128,0.0013817580940026766,0.053924708016984735,0.0030387099173113516,27.64131624914048,0.5309463642781584,864120.0,1440120,576000.0
Heterogeneous,FedAvg-CD-common,1,100,50,0.2338347116957502,0.00784444897476927,184.84,10.828132671096025,3.12192675952537,0.08606789669689817,0.3953595137723053,0.015637228148658363,44.771117892540225,0.8217447583941433,1440024.0,1440120,96.0
Heterogeneous,FedAvg-CD-common,5,100,50,0.2774278579139206,0.007415592998505908,138.46,8.231111215184416,2.448166602774245,0.06596673647796429,0.40801246215310494,0.016148688969003164,44.912648780365544,0.8035621951592221,1440024.0,1440120,96.0
Heterogeneous,FedAvg-CD-common,20,100,50,0.2846816307116129,0.007078933750954821,131.26,7.445081104532122,2.4749879277271316,0.06671826473480143,0.4134293603165862,0.016537603263417255,44.996975444647695,0.7979419581753306,1440024.0,1440120,96.0
Heterogeneous,FedDualAvg-adapted,1,20,50,0.47678490943580953,0.021604207531321376,46.56,4.709708600544285,0.11940750853590626,0.01340923417911643,0.18947208632760396,0.010086852452311494,44.06578830434794,0.8793391177446133,864120.0,1440120,576000.0
Heterogeneous,FedDualAvg-adapted,5,20,50,0.5647281813669213,0.026961592558819233,29.74,2.7824244310107895,0.06852684400447567,0.007601385159273673,0.147954949884693,0.006948863430261725,43.19810286060432,0.9398548618563985,864120.0,1440120,576000.0
Heterogeneous,FedDualAvg-adapted,20,20,50,0.573393234188986,0.028724305208106465,28.96,2.6491369407058305,0.09341349402154872,0.018448992748705866,0.15585693117103408,0.012844940434041198,43.24506519475315,0.9349722701068233,864120.0,1440120,576000.0
IID,FedAvg-CD-common,1,100,50,0.2562895175656575,0.013029779933309137,214.54,11.569919125535346,1.6953444528063217,0.05134353804498999,0.21257712028692188,0.0061666602794759025,29.665695805354254,0.5643002656699035,1440024.0,1440120,96.0
IID,FedAvg-CD-common,5,100,50,0.29531584288136314,0.013957015033557089,177.06,9.494892719515162,1.6143781562131014,0.054389036171205205,0.22483968368892907,0.0058392565034329795,30.314099023432146,0.557598270188684,1440024.0,1440120,96.0
IID,FedAvg-CD-common,20,100,50,0.29782660146248313,0.013544589665202809,173.24,8.93913934587094,1.6420315711103108,0.05719084797785853,0.2297166645502884,0.006263987002828872,30.37961002129454,0.5592695511711168,1440024.0,1440120,96.0
IID,FedDualAvg-adapted,1,20,50,0.6950503118655024,0.018040697427492865,47.4,4.104850291833716,0.032741363631641124,0.003995642516112643,0.07730644515684192,0.002666666196553856,28.806846934789164,0.6296987011896698,864120.0,1440120,576000.0
IID,FedDualAvg-adapted,5,20,50,0.7590495173593276,0.01596323603091394,37.26,2.7265602161413742,0.007387137236394089,0.0011603488168963952,0.04300761344461659,0.002261904455939155,28.20650424268989,0.6544860251812117,864120.0,1440120,576000.0
IID,FedDualAvg-adapted,20,20,50,0.7596530939821022,0.01549147252309893,37.18,2.578829033432319,0.009952399478517173,0.0023283173150284446,0.0434667792348032,0.004045760915210213,28.21939273943734,0.6505423294947005,864120.0,1440120,576000.0
