scenario,E,rounds,metric,contrast,mean,se,n
Correlated,1,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.24611505221025584,0.00877303972486553,50
Correlated,1,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-0.5509930569592271,0.047146741792884,50
Correlated,1,5,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,0.3119394838464333,0.011817573534456826,50
Correlated,1,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,4.737951064144146,0.12259128458167827,50
Correlated,1,10,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.30279975173561907,0.009109881591998542,50
Correlated,1,10,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.1780591195990633,0.03667201550489912,50
Correlated,1,10,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,0.10713791627398724,0.008423369473535445,50
Correlated,1,10,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,2.017317673386003,0.09490921760443047,50
Correlated,1,20,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.3765029430672316,0.00949381486125456,50
Correlated,1,20,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.5426960870099462,0.035998977184230806,50
Correlated,1,20,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.06455883280483075,0.007289382364623645,50
Correlated,1,20,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-0.09980806088115038,0.08725178909929586,50
Correlated,1,50,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.46101489587114897,0.009346088276189029,50
Correlated,1,50,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6603009237533681,0.036938919026450356,50
Correlated,1,50,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.1817048165673567,0.00658213989685354,50
Correlated,1,50,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.40423465574662,0.09812345957309203,50
Correlated,1,100,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.477853227078603,0.009308185075703822,50
Correlated,1,100,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.664455814949202,0.03698375944360044,50
Correlated,1,100,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.20165081729369644,0.006897072741632918,50
Correlated,1,100,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.5759439178374783,0.10391158232135539,50
Correlated,5,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.3920047308425436,0.008904040676147263,50
Correlated,5,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.4349693130342016,0.03208349234345287,50
Correlated,5,5,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.09542429071869771,0.007759372883873742,50
Correlated,5,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-0.7345052731057972,0.09423813242669654,50
Correlated,5,10,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4461180329083429,0.008732744894657004,50
Correlated,5,10,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.5179475392808244,0.033880137410252704,50
