scenario,rep,lam,L_max,method,E,rounds,rate_multiplier,client_rate,validation_mse,selected_vector_upload_bytes,standalone_all_candidate_vector_bytes,standalone_setup_scalar_bytes,standalone_validation_scalar_bytes,standalone_total_upload_bytes,selected_local_steps,all_candidate_local_steps,local_unit,F1,active,objective,objective_gap,kkt_mapping,test_mse
IID,5000,0.3596450198881253,8.45756145698442,FedAvg-CD-common,1,5,,,,72000.0,72000.0,24.0,0.0,72024.0,5.0,5.0,cyclic CD sweep,0.19047619047619047,264,19.115951515227138,2.113602841021187,0.18795740178454537,31.29718371924758
IID,5000,0.3596450198881253,8.45756145698442,FedDualAvg-adapted,1,5,1.0,0.1182373908940597,28.504077454182443,72000.0,216000.0,48.0,72.0,216120.0,5.0,15.0,cached full-gradient evaluation,0.5192307692307693,74,18.061359089238795,1.0590104150328443,0.5337551456743587,34.16524697787286
IID,5000,0.3596450198881253,8.45756145698442,FedAvg-CD-common,1,10,,,,144000.0,144000.0,24.0,0.0,144024.0,10.0,10.0,cyclic CD sweep,0.19112627986348124,263,19.11212920496616,2.109780530760208,0.1873230268146303,31.28061721841651
IID,5000,0.3596450198881253,8.45756145698442,FedDualAvg-adapted,1,10,1.0,0.1182373908940597,25.616292997905106,144000.0,432000.0,48.0,72.0,432120.0,10.0,30.0,cached full-gradient evaluation,0.5869565217391305,62,17.31364999629742,0.3113013220914702,0.2702622311218297,30.955418773221872
IID,5000,0.3596450198881253,8.45756145698442,FedAvg-CD-common,1,20,,,,288000.0,288000.0,24.0,0.0,288024.0,20.0,20.0,cyclic CD sweep,0.19112627986348124,263,19.112124583401613,2.109775909195662,0.18731623007486897,31.2805740290096
IID,5000,0.3596450198881253,8.45756145698442,FedDualAvg-adapted,1,20,1.0,0.1182373908940597,23.743750727050504,288000.0,864000.0,48.0,72.0,864120.0,20.0,60.0,cached full-gradient evaluation,0.6352941176470588,55,17.038965408497937,0.036616734291985864,0.08037794012599264,28.88928546427215
IID,5000,0.3596450198881253,8.45756145698442,FedAvg-CD-common,1,50,,,,720000.0,720000.0,24.0,0.0,720024.0,50.0,50.0,cyclic CD sweep,0.19112627986348124,263,19.112124584050797,2.1097759098448456,0.18731622972637457,31.280574035287767
IID,5000,0.3596450198881253,8.45756145698442,FedDualAvg-adapted,1,50,1.0,0.1182373908940597,23.049317928217683,720000.0,2160000.0,48.0,72.0,2160120.0,50.0,150.0,cached full-gradient evaluation,0.7012987012987013,47,17.002475573561984,0.00012689935603305003,0.004578124849351273,28.13264619834161
IID,5000,0.3596450198881253,8.45756145698442,FedAvg-CD-common,1,100,,,,1440000.0,1440000.0,24.0,0.0,1440024.0,100.0,100.0,cyclic CD sweep,0.19112627986348124,263,19.112124584050797,2.1097759098448456,0.1873162297263745,31.280574035287767
IID,5000,0.3596450198881253,8.45756145698442,FedDualAvg-adapted,1,100,1.0,0.1182373908940597,23.01784030067514,1440000.0,4320000.0,48.0,72.0,4320120.0,100.0,300.0,cached full-gradient evaluation,0.7105263157894737,46,17.00235137682898,2.702623028483231e-06,0.0023833766613788887,28.096176112063628
