scenario,E,metric,contrast,mean,se,n
Correlated,1,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.3765029430672316,0.00949381486125456,50
Correlated,1,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.5426957968994395,0.035998939519162075,50
Correlated,1,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-0.09980715716878429,0.08725166607445103,50
Correlated,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4640345364547735,0.008688906663475967,50
Correlated,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.5253234426148965,0.03414063407384607,50
Correlated,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.971176957811749,0.1204616924189695,50
Correlated,20,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4669926003847315,0.008830351638664653,50
Correlated,20,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.537915448624779,0.03493335964673109,50
Correlated,20,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.9470574672605954,0.1255761479665195,50
Heterogeneous,1,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.24295019774005933,0.024672214586653717,50
Heterogeneous,1,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-3.002519250989464,0.08593104066159452,50
Heterogeneous,1,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-0.7053295881922854,0.2080369832219279,50
Heterogeneous,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2873003234530006,0.03060812729666688,50
Heterogeneous,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.379639758769769,0.0640585594991563,50
Heterogeneous,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.7145459197612252,0.2697379486478192,50
Heterogeneous,20,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2887116034773731,0.03228592739299952,50
Heterogeneous,20,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.3815744337055826,0.06976444922303073,50
Heterogeneous,20,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.7519102498945416,0.2796120150471772,50
IID,1,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.43876079429984494,0.018769901239740226,50
IID,1,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6626030891746806,0.049907626653948205,50
IID,1,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-0.8588488705650896,0.1419972618448935,50
IID,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.46373367447796454,0.020699197260469576,50
IID,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6069910189767074,0.053821371767502214,50
IID,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.1075947807422564,0.198143290743247,50
IID,20,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4618264925196191,0.020542338013930718,50
IID,20,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6320791716317933,0.05634449078964111,50
IID,20,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.160217281857202,0.20050226443446495,50
