method,E,feature,selection_frequency
Pooled,0,age,0.58
Pooled,0,sex,0.96
Pooled,0,bmi,1.0
Pooled,0,bp,1.0
Pooled,0,s1,0.79
Pooled,0,s2,0.55
Pooled,0,s3,0.96
Pooled,0,s4,0.52
Pooled,0,s5,1.0
Pooled,0,s6,0.83
Pooled-1SE,0,age,0.01
Pooled-1SE,0,sex,0.09
Pooled-1SE,0,bmi,1.0
Pooled-1SE,0,bp,0.9
Pooled-1SE,0,s1,0.0
Pooled-1SE,0,s2,0.0
Pooled-1SE,0,s3,0.63
Pooled-1SE,0,s4,0.03
Pooled-1SE,0,s5,1.0
Pooled-1SE,0,s6,0.12
Largest-site,0,age,0.62
Largest-site,0,sex,0.86
Largest-site,0,bmi,1.0
Largest-site,0,bp,0.96
Largest-site,0,s1,0.49
Largest-site,0,s2,0.53
Largest-site,0,s3,0.9
Largest-site,0,s4,0.53
Largest-site,0,s5,1.0
Largest-site,0,s6,0.71
Largest-site-1SE,0,age,0.02
Largest-site-1SE,0,sex,0.06
Largest-site-1SE,0,bmi,0.99
Largest-site-1SE,0,bp,0.65
Largest-site-1SE,0,s1,0.01
Largest-site-1SE,0,s2,0.02
Largest-site-1SE,0,s3,0.44
Largest-site-1SE,0,s4,0.14
Largest-site-1SE,0,s5,0.97
Largest-site-1SE,0,s6,0.21
One-shot,0,age,0.92
One-shot,0,sex,0.99
One-shot,0,bmi,1.0
One-shot,0,bp,1.0
One-shot,0,s1,0.82
One-shot,0,s2,0.82
One-shot,0,s3,0.99
One-shot,0,s4,0.91
One-shot,0,s5,1.0
One-shot,0,s6,0.99
ADMM,0,age,0.19
ADMM,0,sex,0.78
ADMM,0,bmi,1.0
ADMM,0,bp,0.99
ADMM,0,s1,0.37
ADMM,0,s2,0.2
ADMM,0,s3,0.97
ADMM,0,s4,0.15
ADMM,0,s5,1.0
ADMM,0,s6,0.54
FedAvg,1,age,0.92
FedAvg,1,sex,0.98
FedAvg,1,bmi,1.0
FedAvg,1,bp,1.0
FedAvg,1,s1,0.94
FedAvg,1,s2,0.89
FedAvg,1,s3,0.98
FedAvg,1,s4,0.88
FedAvg,1,s5,1.0
FedAvg,1,s6,0.99
FedAvg-ST,1,age,0.07
FedAvg-ST,1,sex,0.61
FedAvg-ST,1,bmi,1.0
FedAvg-ST,1,bp,0.97
FedAvg-ST,1,s1,0.37
FedAvg-ST,1,s2,0.07
FedAvg-ST,1,s3,0.76
FedAvg-ST,1,s4,0.12
FedAvg-ST,1,s5,1.0
FedAvg-ST,1,s6,0.17
FedAvg-P,1,age,0.24
FedAvg-P,1,sex,0.6
FedAvg-P,1,bmi,1.0
FedAvg-P,1,bp,0.99
FedAvg-P,1,s1,0.42
FedAvg-P,1,s2,0.05
FedAvg-P,1,s3,0.91
FedAvg-P,1,s4,0.12
FedAvg-P,1,s5,0.99
FedAvg-P,1,s6,0.25
FedAvg,3,age,0.93
FedAvg,3,sex,0.99
FedAvg,3,bmi,1.0
FedAvg,3,bp,1.0
FedAvg,3,s1,0.93
FedAvg,3,s2,0.85
FedAvg,3,s3,1.0
FedAvg,3,s4,0.95
FedAvg,3,s5,1.0
FedAvg,3,s6,0.99
FedAvg-ST,3,age,0.08
FedAvg-ST,3,sex,0.71
FedAvg-ST,3,bmi,1.0
FedAvg-ST,3,bp,0.97
FedAvg-ST,3,s1,0.36
FedAvg-ST,3,s2,0.1
FedAvg-ST,3,s3,0.74
FedAvg-ST,3,s4,0.23
FedAvg-ST,3,s5,1.0
FedAvg-ST,3,s6,0.24
FedAvg-P,3,age,0.23
FedAvg-P,3,sex,0.83
FedAvg-P,3,bmi,1.0
FedAvg-P,3,bp,0.99
FedAvg-P,3,s1,0.46
FedAvg-P,3,s2,0.13
FedAvg-P,3,s3,0.91
FedAvg-P,3,s4,0.31
FedAvg-P,3,s5,1.0
FedAvg-P,3,s6,0.38
FedAvg,20,age,0.93
FedAvg,20,sex,0.99
FedAvg,20,bmi,1.0
FedAvg,20,bp,1.0
FedAvg,20,s1,0.87
FedAvg,20,s2,0.83
FedAvg,20,s3,0.99
FedAvg,20,s4,0.91
FedAvg,20,s5,1.0
FedAvg,20,s6,0.99
FedAvg-ST,20,age,0.08
FedAvg-ST,20,sex,0.72
FedAvg-ST,20,bmi,1.0
FedAvg-ST,20,bp,0.97
FedAvg-ST,20,s1,0.46
FedAvg-ST,20,s2,0.22
FedAvg-ST,20,s3,0.62
FedAvg-ST,20,s4,0.37
FedAvg-ST,20,s5,1.0
FedAvg-ST,20,s6,0.22
FedAvg-P,20,age,0.22
FedAvg-P,20,sex,0.84
FedAvg-P,20,bmi,1.0
FedAvg-P,20,bp,0.99
FedAvg-P,20,s1,0.59
FedAvg-P,20,s2,0.39
FedAvg-P,20,s3,0.85
FedAvg-P,20,s4,0.51
FedAvg-P,20,s5,1.0
FedAvg-P,20,s6,0.42
