method,E,active_mean,active_std,F1_reference_mean,F1_reference_std,jaccard_reference_mean,jaccard_reference_std,test_mse_mean,test_mse_std,validation_mse_mean,validation_mse_std,fitting_rounds_mean,fitting_rounds_std,selected_rounds_mean,selected_rounds_std,vector_kib_mean,vector_kib_std,scalar_kib_mean,scalar_kib_std,total_local_epochs_mean,total_local_epochs_std,n_splits,capped_selected,capped_candidates,pairwise_jaccard
Pooled,0,8.19,1.7097167347637774,0.630543068043068,0.11905100435618568,0.4714206349206349,0.1284697941218488,3044.2992607932147,300.93714003576986,3000.381297932345,369.6274188200211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100,0,0,0.7570703062369729
Pooled-1SE,0,3.78,0.9700567514378222,1.0,0.0,1.0,0.0,3416.250547548473,365.10510194755676,3348.800233223412,417.12902886413576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100,0,0,0.7596753246753246
Largest-site,0,7.6,2.054804667656325,0.6569172494172494,0.13788265736385358,0.5052579365079365,0.16049954155480498,3194.450481040997,337.2817616658641,3137.1974275749735,411.11293385663106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100,0,0,0.6760574795574795
Largest-site-1SE,0,3.51,1.306510503964548,0.8152377622377622,0.16228642339143382,0.7160595238095238,0.21136927594515237,3715.203764268217,585.0581295810844,3618.919761159832,574.3703359386119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100,0,0,0.6098730158730159
One-shot,0,9.44,0.9246347900384749,0.5656425241425241,0.09921328364109887,0.4010079365079365,0.09754656789617114,3073.0517690568217,311.4443842232487,3030.441086186025,370.5892772944834,1.0,0.0,1.0,0.0,0.234375,0.0,0.0,0.0,,,100,0,0,0.901730960397627
ADMM,0,6.19,1.5935159018010867,0.7592925407925408,0.1325239908804484,0.6299325396825397,0.17125452174282546,3090.2938680134057,315.2409359452537,3070.378284573418,374.89351729544865,437.59,892.7532274663112,437.59,892.7532274663112,102.56015625,209.23903768741667,0.0,0.0,,,100,0,0,0.7009946288279622
FedAvg,1,9.58,0.9120960431441377,0.5602246087246087,0.10197991523288545,0.3960674603174603,0.09976109280721182,3075.592243708868,307.99075261131185,3042.583194119745,374.25877307174665,51.16,87.09633816190048,51.16,87.09633816190048,11.990625,20.413204256695423,0.0,0.0,51.16,87.09633816190048,100,2,0,0.9220295815295816
FedAvg-ST,1,5.14,1.595574688273346,0.8332714507714507,0.10111052112492548,0.7269444444444444,0.1496102554771659,3457.617189516376,393.83466956712357,3379.3047720190875,419.53231281725397,51.16,87.09633816190048,51.16,87.09633816190048,11.990625,20.413204256695423,2.8125,0.0,51.16,87.09633816190048,100,2,0,0.6771341991341991
FedAvg-P,1,5.57,1.843662363094422,0.8037217227217226,0.1267241713402555,0.6904761904761905,0.17897559947341532,3271.828960791906,399.37320674191426,3201.050069901057,408.61847934846037,215.02,369.95298582005216,39.51,83.88237254776729,50.3953125,86.70773105157474,0.3515625,0.0,215.02,369.95298582005216,100,3,13,0.6901173641173641
FedAvg,3,9.64,0.7722458393307388,0.5569262404262404,0.10065760672459764,0.3926587301587302,0.0978444031221855,3069.7381494918427,310.4467663577454,3034.29898117727,372.0377972570191,23.83,25.810128385436737,23.83,25.810128385436737,5.58515625,6.049248840336736,0.0,0.0,71.49,77.43038515631021,100,0,0,0.9338858425525093
FedAvg-ST,3,5.43,1.730621421643251,0.8179310134310134,0.11458644554111849,0.7074563492063493,0.16287832955606235,3446.5737179023813,393.1369708354828,3371.1882060818766,413.1935623108824,23.83,25.810128385436737,23.83,25.810128385436737,5.58515625,6.049248840336736,2.8125,0.0,71.49,77.43038515631021,100,0,0,0.6592681577681577
FedAvg-P,3,6.24,1.8808981306221182,0.7552955377955378,0.1276505693863581,0.6237896825396825,0.16854769481663448,3275.402149502654,387.0410959640846,3201.567431761683,403.4884653133873,98.57,110.74853260764893,18.02,33.19029309234186,23.10234375,25.95668732991771,0.3515625,0.0,295.71,332.24559782294676,100,0,0,0.6847675966009299
FedAvg,20,9.51,0.8703302519588455,0.5624423909423909,0.09937571223316764,0.3979047619047619,0.09761111339572323,3072.2279115763577,311.7908719936039,3034.2620249360584,370.8827483900283,10.27,7.254194189111108,10.27,7.254194189111108,2.40703125,1.7002017630729156,0.0,0.0,205.4,145.08388378222213,100,0,0,0.9121125541125541
FedAvg-ST,20,5.66,1.6770585119563515,0.7774019869019869,0.12164464867478057,0.6521269841269841,0.16645259391415848,3442.153131610673,382.3075470297906,3369.9016562768056,417.9905296514097,10.27,7.254194189111108,10.27,7.254194189111108,2.40703125,1.7002017630729156,2.8125,0.0,205.4,145.08388378222213,100,0,0,0.6221079846079847
FedAvg-P,20,6.81,1.9263982197380949,0.7135977355977355,0.1307646227902722,0.5711190476190476,0.16437872766126224,3273.519239797765,384.4595314506852,3200.077277607705,409.96637432199344,47.89,33.2291994632687,8.63,6.511303303262006,11.22421875,7.788093624203602,0.3515625,0.0,957.8,664.5839892653739,100,0,0,0.6565754369087703
