scenario,method,n,difference,mcse
Independent,FedAvg,200,0.03674422445170669,0.0011833105984235051
Independent,FedAvg-1SE,200,0.031868424205329315,0.0022155017585323085
Independent,FedAvg-ST,200,-0.0177595983957645,0.004411423383059249
Independent,FedAvg-P,200,0.06628335110091649,0.006590837951525755
Correlated,FedAvg,200,0.044889422964360055,0.0011283547360569563
Correlated,FedAvg-1SE,200,0.0460463629869635,0.00241159749394232
Correlated,FedAvg-ST,200,-0.018663024030343416,0.0051318042897013465
Correlated,FedAvg-P,200,0.053446799817848396,0.006123145342388837
Heterogeneous,FedAvg,200,0.05299331804960177,0.0016539345009076675
Heterogeneous,FedAvg-1SE,200,0.04840993136115299,0.002850596439536655
Heterogeneous,FedAvg-ST,200,-0.001309335346178373,0.0055446180960028405
Heterogeneous,FedAvg-P,200,0.04656083506399197,0.00838273215159329
