method,E,rounds,epochs,lam,active,exact_zeros,TP,FP,FN,precision,recall,F1,jaccard,val_mse,obj,fit_converged,primal_residual,dual_residual_scaled,kkt_residual,fit_tolerance,hit_round_cap,lam_sel,final_update_norm,tau,scalar_rounds,scalar_kib,selected_rounds,selected_epochs,candidate_rounds,vector_kib,upload_kib,selected_vector_kib,tuning_rounds,tuning_epochs,total_rounds,total_epochs,total_vector_kib,total_upload_kib
Pooled,,,,0.17779758216009006,172,428,172,0,0,1.0,1.0,1.0,1.0,44.184483388420595,22.90071453735459,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
Pooled-1SE,,,,0.2863006951445394,98,501,95,3,77,0.9693877551020408,0.5523255813953488,0.7037037037037037,0.5428571428571428,46.84270402425655,22.604331877835605,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
Local-only,,0.0,,0.20457421290967445,164,436,81,83,91,0.49390243902439024,0.47093023255813954,0.48214285714285715,0.3176470588235294,55.62156755673041,27.041415118204362,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
Local-only-1SE,,0.0,,0.4180187059719184,83,517,53,30,119,0.6385542168674698,0.3081395348837209,0.41568627450980394,0.2623762376237624,61.081272384016195,26.015177470046382,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
One-shot,,1.0,,0.2503965923975926,299,300,124,175,48,0.41471571906354515,0.7209302325581395,0.5265392781316348,0.3573487031700288,53.90688214606859,25.858292542212894,,,,,,,,,,0.0,0.0,1.0,,,14.0625,14.0625,14.0625,0.0,,1.0,,14.0625,14.0625
ADMM,,133.0,,0.2503965923975926,117,483,115,2,57,0.9829059829059829,0.6686046511627907,0.7958477508650519,0.6609195402298851,45.747412892946485,22.54502334682922,True,1.1802169154361664e-07,2.3850980043517615e-07,2.3864783449401017e-07,1e-08,False,,,,0.0,0.0,133.0,,,1870.3125,1870.3125,1870.3125,0.0,,133.0,,1870.3125,1870.3125
ADMM-CV,,,,0.1770571284703417,172,428,172,0,0,1.0,1.0,1.0,1.0,44.1812517839609,22.909132104357543,,,,,,,0.1770571284703417,,,0.0,0.0,,,,,,,,,,,,
ADMM-CV-1SE,,,,0.2904924450348157,96,504,93,3,79,0.96875,0.5406976744186046,0.6940298507462687,0.5314285714285715,46.96736637910566,22.617884451974057,,,,,,,0.2904924450348157,,,0.0,0.0,,,,,,,,,,,,
FedAvg,1.0,28.0,28.0,0.2503965923975926,402,198,149,253,23,0.3706467661691542,0.8662790697674418,0.519163763066202,0.35058823529411764,49.93040964532051,25.517883042501683,True,,,,1e-05,False,,6.323425723447989e-06,,0.0,0.0,28.0,28.0,,393.75,393.75,393.75,0.0,0.0,28.0,28.0,393.75,393.75
FedAvg-ST,1.0,28.0,28.0,0.2503965923975926,124,476,92,32,80,0.7419354838709677,0.5348837209302325,0.6216216216216216,0.45098039215686275,53.44850754655683,24.3822366802229,True,,,,1e-05,False,,6.323425723447989e-06,0.08501638373564392,1.0,2.8125,28.0,28.0,,393.75,396.5625,393.75,0.0,0.0,29.0,28.0,393.75,396.5625
FedAvg-ST-min,1.0,28.0,28.0,0.2503965923975926,402,198,149,253,23,0.3706467661691542,0.8662790697674418,0.519163763066202,0.35058823529411764,49.93040964532051,25.517883042501683,True,,,,1e-05,False,,6.323425723447989e-06,0.0,1.0,2.8125,28.0,28.0,,393.75,396.5625,393.75,0.0,0.0,29.0,28.0,393.75,396.5625
FedAvg-P,1.0,147.0,147.0,0.2503965923975926,155,445,103,52,69,0.6645161290322581,0.5988372093023255,0.6299694189602446,0.45982142857142855,53.27483014454865,24.479802122670833,True,,,,,,,,0.06259914809939815,1.0,0.3515625,28.0,28.0,31;31;28;29;28,2067.1875,2067.5390625,393.75,119.0,119.0,148.0,147.0,2067.1875,2067.5390625
FedAvg,2.0,17.0,34.0,0.2503965923975926,376,224,145,231,27,0.38563829787234044,0.8430232558139535,0.5291970802919708,0.3598014888337469,51.163989754601296,25.159660935120243,True,,,,1e-05,False,,6.996641812603682e-06,,0.0,0.0,17.0,34.0,,239.0625,239.0625,239.0625,0.0,0.0,17.0,34.0,239.0625,239.0625
FedAvg-ST,2.0,17.0,34.0,0.2503965923975926,112,488,85,27,87,0.7589285714285714,0.4941860465116279,0.5985915492957746,0.4271356783919598,55.292568528613664,24.45255603829426,True,,,,1e-05,False,,6.996641812603682e-06,0.08501638373564392,1.0,2.8125,17.0,34.0,,239.0625,241.875,239.0625,0.0,0.0,18.0,34.0,239.0625,241.875
FedAvg-ST-min,2.0,17.0,34.0,0.2503965923975926,376,224,145,231,27,0.38563829787234044,0.8430232558139535,0.5291970802919708,0.3598014888337469,51.163989754601296,25.159660935120243,True,,,,1e-05,False,,6.996641812603682e-06,0.0,1.0,2.8125,17.0,34.0,,239.0625,241.875,239.0625,0.0,0.0,18.0,34.0,239.0625,241.875
FedAvg-P,2.0,81.0,162.0,0.2503965923975926,144,456,99,45,73,0.6875,0.5755813953488372,0.6265822784810127,0.45622119815668205,54.451082238927796,24.34401751619572,True,,,,,,,,0.06259914809939815,1.0,0.3515625,16.0,32.0,17;16;16;16;16,1139.0625,1139.4140625,225.0,65.0,130.0,82.0,162.0,1139.0625,1139.4140625
FedAvg,3.0,13.0,39.0,0.2503965923975926,350,250,141,209,31,0.40285714285714286,0.8197674418604651,0.5402298850574713,0.3700787401574803,52.21547486113284,25.232744138143126,True,,,,1e-05,False,,7.312902749828444e-06,,0.0,0.0,13.0,39.0,,182.8125,182.8125,182.8125,0.0,0.0,13.0,39.0,182.8125,182.8125
FedAvg-ST,3.0,13.0,39.0,0.2503965923975926,114,486,83,31,89,0.7280701754385965,0.48255813953488375,0.5804195804195804,0.4088669950738916,56.17515359526249,24.608047881619154,True,,,,1e-05,False,,7.312902749828444e-06,0.08501638373564392,1.0,2.8125,13.0,39.0,,182.8125,185.625,182.8125,0.0,0.0,14.0,39.0,182.8125,185.625
FedAvg-ST-min,3.0,13.0,39.0,0.2503965923975926,350,250,141,209,31,0.40285714285714286,0.8197674418604651,0.5402298850574713,0.3700787401574803,52.21547486113284,25.232744138143126,True,,,,1e-05,False,,7.312902749828444e-06,0.0,1.0,2.8125,13.0,39.0,,182.8125,185.625,182.8125,0.0,0.0,14.0,39.0,182.8125,185.625
FedAvg-P,3.0,63.0,189.0,0.2503965923975926,144,456,91,53,81,0.6319444444444444,0.5290697674418605,0.5759493670886076,0.40444444444444444,55.26052707946934,24.48201298750872,True,,,,,,,,0.06259914809939815,1.0,0.3515625,13.0,39.0,12;12;13;13;13,885.9375,886.2890625,182.8125,50.0,150.0,64.0,189.0,885.9375,886.2890625
FedAvg,5.0,10.0,50.0,0.2503965923975926,324,276,132,192,40,0.4074074074074074,0.7674418604651163,0.532258064516129,0.3626373626373626,53.23710934125551,25.43370410177921,True,,,,1e-05,False,,2.2918758463271206e-06,,0.0,0.0,10.0,50.0,,140.625,140.625,140.625,0.0,0.0,10.0,50.0,140.625,140.625
FedAvg-ST,5.0,10.0,50.0,0.2503965923975926,120,479,79,41,93,0.6583333333333333,0.45930232558139533,0.541095890410959,0.37089201877934275,56.96887198131981,24.85294700100232,True,,,,1e-05,False,,2.2918758463271206e-06,0.08501638373564392,1.0,2.8125,10.0,50.0,,140.625,143.4375,140.625,0.0,0.0,11.0,50.0,140.625,143.4375
FedAvg-ST-min,5.0,10.0,50.0,0.2503965923975926,324,276,132,192,40,0.4074074074074074,0.7674418604651163,0.532258064516129,0.3626373626373626,53.23710934125551,25.43370410177921,True,,,,1e-05,False,,2.2918758463271206e-06,0.0,1.0,2.8125,10.0,50.0,,140.625,143.4375,140.625,0.0,0.0,11.0,50.0,140.625,143.4375
FedAvg-P,5.0,45.0,225.0,0.2503965923975926,154,446,91,63,81,0.5909090909090909,0.5290697674418605,0.558282208588957,0.3872340425531915,55.835848221312524,24.683266596769982,True,,,,,,,,0.06259914809939815,1.0,0.3515625,9.0,45.0,9;9;9;9;9,632.8125,633.1640625,126.5625,36.0,180.0,46.0,225.0,632.8125,633.1640625
FedAvg,8.0,8.0,64.0,0.2503965923975926,320,279,130,190,42,0.40625,0.7558139534883721,0.5284552845528455,0.35911602209944754,53.73544402938816,25.59720411815394,True,,,,1e-05,False,,4.04663065511548e-06,,0.0,0.0,8.0,64.0,,112.5,112.5,112.5,0.0,0.0,8.0,64.0,112.5,112.5
FedAvg-ST,8.0,8.0,64.0,0.2503965923975926,121,479,77,44,95,0.6363636363636364,0.4476744186046512,0.5255972696245734,0.35648148148148145,57.383356545527704,25.013367714630423,True,,,,1e-05,False,,4.04663065511548e-06,0.08501638373564392,1.0,2.8125,8.0,64.0,,112.5,115.3125,112.5,0.0,0.0,9.0,64.0,112.5,115.3125
FedAvg-ST-min,8.0,8.0,64.0,0.2503965923975926,320,279,130,190,42,0.40625,0.7558139534883721,0.5284552845528455,0.35911602209944754,53.73544402938816,25.59720411815394,True,,,,1e-05,False,,4.04663065511548e-06,0.0,1.0,2.8125,8.0,64.0,,112.5,115.3125,112.5,0.0,0.0,9.0,64.0,112.5,115.3125
FedAvg-P,8.0,37.0,296.0,0.2503965923975926,159,440,89,70,83,0.559748427672956,0.5174418604651163,0.5377643504531722,0.3677685950413223,56.18348096712239,24.859959666246837,True,,,,,,,,0.06259914809939815,1.0,0.3515625,7.0,56.0,7;7;7;8;8,520.3125,520.6640625,98.4375,30.0,240.0,38.0,296.0,520.3125,520.6640625
FedAvg,10.0,7.0,70.0,0.2503965923975926,312,288,126,186,46,0.40384615384615385,0.7325581395348837,0.5206611570247934,0.35195530726256985,53.80716225189994,25.660093077457056,True,,,,1e-05,False,,7.092258598817788e-06,,0.0,0.0,7.0,70.0,,98.4375,98.4375,98.4375,0.0,0.0,7.0,70.0,98.4375,98.4375
FedAvg-ST,10.0,7.0,70.0,0.2503965923975926,123,477,76,47,96,0.6178861788617886,0.4418604651162791,0.5152542372881356,0.3470319634703196,57.5374546843829,25.060285562130744,True,,,,1e-05,False,,7.092258598817788e-06,0.08501638373564392,1.0,2.8125,7.0,70.0,,98.4375,101.25,98.4375,0.0,0.0,8.0,70.0,98.4375,101.25
FedAvg-ST-min,10.0,7.0,70.0,0.2503965923975926,312,288,126,186,46,0.40384615384615385,0.7325581395348837,0.5206611570247934,0.35195530726256985,53.80716225189994,25.660093077457056,True,,,,1e-05,False,,7.092258598817788e-06,0.0,1.0,2.8125,7.0,70.0,,98.4375,101.25,98.4375,0.0,0.0,8.0,70.0,98.4375,101.25
FedAvg-P,10.0,35.0,350.0,0.2503965923975926,158,442,87,71,85,0.5506329113924051,0.5058139534883721,0.5272727272727272,0.35802469135802467,56.284591521420744,24.914362707464576,True,,,,,,,,0.06259914809939815,1.0,0.3515625,7.0,70.0,7;7;7;7;7,492.1875,492.5390625,98.4375,28.0,280.0,36.0,350.0,492.1875,492.5390625
FedAvg,15.0,6.0,90.0,0.2503965923975926,307,293,124,183,48,0.40390879478827363,0.7209302325581395,0.5177453027139874,0.3492957746478873,53.85225862696914,25.73129704300922,True,,,,1e-05,False,,9.180911093984322e-06,,0.0,0.0,6.0,90.0,,84.375,84.375,84.375,0.0,0.0,6.0,90.0,84.375,84.375
FedAvg-ST,15.0,6.0,90.0,0.2503965923975926,123,477,76,47,96,0.6178861788617886,0.4418604651162791,0.5152542372881356,0.3470319634703196,57.64597951940335,25.111158612919045,True,,,,1e-05,False,,9.180911093984322e-06,0.08501638373564392,1.0,2.8125,6.0,90.0,,84.375,87.1875,84.375,0.0,0.0,7.0,90.0,84.375,87.1875
FedAvg-ST-min,15.0,6.0,90.0,0.2503965923975926,307,293,124,183,48,0.40390879478827363,0.7209302325581395,0.5177453027139874,0.3492957746478873,53.85225862696914,25.73129704300922,True,,,,1e-05,False,,9.180911093984322e-06,0.0,1.0,2.8125,6.0,90.0,,84.375,87.1875,84.375,0.0,0.0,7.0,90.0,84.375,87.1875
FedAvg-P,15.0,30.0,450.0,0.2503965923975926,157,443,87,70,85,0.554140127388535,0.5058139534883721,0.5288753799392097,0.359504132231405,56.38316585603583,24.977072283657055,True,,,,,,,,0.06259914809939815,1.0,0.3515625,6.0,90.0,6;6;6;6;6,421.875,422.2265625,84.375,24.0,360.0,31.0,450.0,421.875,422.2265625
FedAvg,20.0,6.0,120.0,0.2503965923975926,304,296,124,180,48,0.40789473684210525,0.7209302325581395,0.5210084033613446,0.3522727272727273,53.89626406497802,25.768050368312053,True,,,,1e-05,False,,2.8098052045526865e-06,,0.0,0.0,6.0,120.0,,84.375,84.375,84.375,0.0,0.0,6.0,120.0,84.375,84.375
FedAvg-ST,20.0,6.0,120.0,0.2503965923975926,123,477,76,47,96,0.6178861788617886,0.4418604651162791,0.5152542372881356,0.3470319634703196,57.70299308140902,25.139334779598038,True,,,,1e-05,False,,2.8098052045526865e-06,0.08501638373564392,1.0,2.8125,6.0,120.0,,84.375,87.1875,84.375,0.0,0.0,7.0,120.0,84.375,87.1875
FedAvg-ST-min,20.0,6.0,120.0,0.2503965923975926,304,296,124,180,48,0.40789473684210525,0.7209302325581395,0.5210084033613446,0.3522727272727273,53.89626406497802,25.768050368312053,True,,,,1e-05,False,,2.8098052045526865e-06,0.0,1.0,2.8125,6.0,120.0,,84.375,87.1875,84.375,0.0,0.0,7.0,120.0,84.375,87.1875
FedAvg-P,20.0,27.0,540.0,0.2503965923975926,157,443,87,70,85,0.554140127388535,0.5058139534883721,0.5288753799392097,0.359504132231405,56.45168711355995,25.009561961504087,True,,,,,,,,0.06259914809939815,1.0,0.3515625,5.0,100.0,5;5;5;6;6,379.6875,380.0390625,70.3125,22.0,440.0,28.0,540.0,379.6875,380.0390625
