active,TP,FP,FN,TN,precision,recall,F1,jaccard,method,E,rounds,local_epochs,upload_kib,coef_err,test_mse,lam,scenario,rep,final_obj,tau
155,28,127,2,443,0.1806451612903225,0.9333333333333332,0.3027027027027026,0.1783439490445859,Pooled,,,,,2.271673174351056,24.08398326422279,0.1477244490109618,Correlated,2000,,
162,25,137,5,433,0.1543209876543209,0.8333333333333334,0.2604166666666666,0.1497005988023952,Local-only,,0.0,,0.0,3.3176568804128026,29.146092661240445,0.181274009265665,Correlated,2000,,
254,27,227,3,343,0.1062992125984252,0.9,0.1901408450704225,0.1050583657587548,One-shot,,1.0,,14.0625,3.253090568423546,28.62244210404537,0.2907676171684923,Correlated,2000,,
59,26,33,4,537,0.4406779661016949,0.8666666666666667,0.5842696629213483,0.4126984126984127,ADMM,,107.0,,1504.6875,2.5296903875588845,25.42188101660988,0.2907676171684923,Correlated,2000,,
330,26,304,4,266,0.0787878787878787,0.8666666666666667,0.1444444444444444,0.0778443113772455,FedAvg,1.0,19.0,19.0,267.1875,3.1673529016720403,28.372165523650143,0.2907676171684923,Correlated,2000,16.441048938030004,
75,21,54,9,516,0.28,0.7,0.4,0.25,FedAvg-ST,1.0,20.0,19.0,281.25,3.2776202634030005,29.55068779155206,0.2907676171684923,Correlated,2000,14.900202574937383,0.0789003509623688
290,27,263,3,307,0.093103448275862,0.9,0.16875,0.0921501706484641,FedAvg,2.0,12.0,24.0,168.75,3.2086725786953103,28.586662924075306,0.2907676171684923,Correlated,2000,16.307245889645635,
107,22,85,8,485,0.205607476635514,0.7333333333333333,0.3211678832116788,0.1913043478260869,FedAvg-ST,2.0,13.0,24.0,182.8125,3.305555931522552,29.56203836170728,0.2907676171684923,Correlated,2000,15.023058592377716,0.0630576264022836
281,28,253,2,317,0.099644128113879,0.9333333333333332,0.180064308681672,0.0989399293286219,FedAvg,3.0,10.0,30.0,140.625,3.221480254522304,28.573217610114288,0.2907676171684923,Correlated,2000,16.290749249856393,
88,21,67,9,503,0.2386363636363636,0.7,0.3559322033898305,0.2164948453608247,FedAvg-ST,3.0,11.0,30.0,154.6875,3.364861300037556,30.03489668859639,0.2907676171684923,Correlated,2000,15.06853413764583,0.0789003509623688
265,28,237,2,333,0.1056603773584905,0.9333333333333332,0.1898305084745762,0.1048689138576779,FedAvg,5.0,7.0,35.0,98.4375,3.2329710253061816,28.55985845111768,0.2907676171684923,Correlated,2000,16.293357739798346,
86,22,64,8,506,0.2558139534883721,0.7333333333333333,0.3793103448275862,0.2340425531914893,FedAvg-ST,5.0,8.0,35.0,112.5,3.373837631182377,30.024272882032022,0.2907676171684923,Correlated,2000,15.1037634606014,0.0789003509623688
258,28,230,2,340,0.1085271317829457,0.9333333333333332,0.1944444444444444,0.1076923076923077,FedAvg,8.0,5.0,40.0,70.3125,3.2491413731169247,28.60189122639268,0.2907676171684923,Correlated,2000,16.30601738292239,
89,22,67,8,503,0.247191011235955,0.7333333333333333,0.3697478991596638,0.2268041237113402,FedAvg-ST,8.0,6.0,40.0,84.375,3.3846112349190003,30.04959614105609,0.2907676171684923,Correlated,2000,15.135679365585162,0.0789003509623688
254,27,227,3,343,0.1062992125984252,0.9,0.1901408450704225,0.1050583657587548,FedAvg,10.0,5.0,50.0,70.3125,3.2531697368132235,28.61765454643243,0.2907676171684923,Correlated,2000,16.315273153934996,
89,22,67,8,503,0.247191011235955,0.7333333333333333,0.3697478991596638,0.2268041237113402,FedAvg-ST,10.0,6.0,50.0,84.375,3.387818043252322,30.06358158368741,0.2907676171684923,Correlated,2000,15.148473382149495,0.0789003509623688
255,27,228,3,342,0.1058823529411764,0.9,0.1894736842105263,0.1046511627906976,FedAvg,15.0,4.0,60.0,56.25,3.253893603026854,28.621098930065894,0.2907676171684923,Correlated,2000,16.32270636072778,
88,22,66,8,504,0.25,0.7333333333333333,0.3728813559322034,0.2291666666666666,FedAvg-ST,15.0,5.0,60.0,70.3125,3.389013392100102,30.069143849934377,0.2907676171684923,Correlated,2000,15.157143019658497,0.0789003509623688
254,27,227,3,343,0.1062992125984252,0.9,0.1901408450704225,0.1050583657587548,FedAvg,20.0,4.0,80.0,56.25,3.2533878186196987,28.620810308897145,0.2907676171684923,Correlated,2000,16.324046254530096,
88,22,66,8,504,0.25,0.7333333333333333,0.3728813559322034,0.2291666666666666,FedAvg-ST,20.0,5.0,80.0,70.3125,3.3888166360182668,30.067688562323173,0.2907676171684923,Correlated,2000,15.158368288960784,0.0789003509623688
108,30,78,0,492,0.2777777777777778,1.0,0.4347826086956522,0.2777777777777778,Pooled,,,,,2.4327182011781066,27.90122805780488,0.2311355143017127,Correlated,2001,,
63,23,40,7,530,0.365079365079365,0.7666666666666667,0.4946236559139785,0.3285714285714285,Local-only,,0.0,,0.0,3.5015647429628203,34.504677005051576,0.4853183636378515,Correlated,2001,,
185,27,158,3,412,0.1459459459459459,0.9,0.2511627906976744,0.1436170212765957,One-shot,,1.0,,14.0625,3.615449822213968,34.59104270943276,0.4427457385580964,Correlated,2001,,
45,27,18,3,552,0.6,0.9,0.7200000000000001,0.5625,ADMM,,112.0,,1575.0,3.07208517615535,31.80229656632476,0.4427457385580964,Correlated,2001,,
223,28,195,2,375,0.1255605381165919,0.9333333333333332,0.2213438735177866,0.1244444444444444,FedAvg,1.0,14.0,14.0,196.875,3.4103732296227025,33.22368507436811,0.4427457385580964,Correlated,2001,21.80895785966424,
43,21,22,9,548,0.4883720930232558,0.7,0.5753424657534246,0.4038461538461538,FedAvg-ST,1.0,15.0,14.0,210.9375,3.685621281666609,36.07819394010202,0.4427457385580964,Correlated,2001,20.25008675162805,0.0960165222147882
202,27,175,3,395,0.1336633663366336,0.9,0.2327586206896552,0.1317073170731707,FedAvg,2.0,9.0,18.0,126.5625,3.536433387186368,34.123297689527405,0.4427457385580964,Correlated,2001,21.65607651474628,
45,22,23,8,547,0.4888888888888889,0.7333333333333333,0.5866666666666667,0.4150943396226415,FedAvg-ST,2.0,10.0,18.0,140.625,3.8222347221589374,37.0786548873734,0.4427457385580964,Correlated,2001,20.41135569771948,0.0960165222147882
194,27,167,3,403,0.1391752577319587,0.9,0.2410714285714285,0.1370558375634517,FedAvg,3.0,7.0,21.0,98.4375,3.5603341833123867,34.27937498330911,0.4427457385580964,Correlated,2001,21.5984192739398,
44,22,22,8,548,0.5,0.7333333333333333,0.5945945945945945,0.4230769230769231,FedAvg-ST,3.0,8.0,21.0,112.5,3.8494232120088654,37.23680459348167,0.4427457385580964,Correlated,2001,20.44093326757955,0.0960165222147882
187,27,160,3,410,0.1443850267379679,0.9,0.248847926267281,0.1421052631578947,FedAvg,5.0,6.0,30.0,84.375,3.59140276915348,34.45463153002026,0.4427457385580964,Correlated,2001,21.618754014206537,
58,22,36,8,534,0.3793103448275862,0.7333333333333333,0.5,0.3333333333333333,FedAvg-ST,5.0,7.0,30.0,98.4375,3.810336732843077,36.7663743554337,0.4427457385580964,Correlated,2001,20.4397327099954,0.076736971539637
187,27,160,3,410,0.1443850267379679,0.9,0.248847926267281,0.1421052631578947,FedAvg,8.0,4.0,32.0,56.25,3.6086958916516414,34.5478111217822,0.4427457385580964,Correlated,2001,21.6354062189722,
62,22,40,8,530,0.3548387096774194,0.7333333333333333,0.4782608695652173,0.3142857142857143,FedAvg-ST,8.0,5.0,32.0,70.3125,3.826861724752078,36.8831908255731,0.4427457385580964,Correlated,2001,20.46145035682104,0.076736971539637
186,27,159,3,411,0.1451612903225806,0.9,0.25,0.1428571428571428,FedAvg,10.0,4.0,40.0,56.25,3.6131171029524114,34.573494270119205,0.4427457385580964,Correlated,2001,21.63984894373756,
61,22,39,8,531,0.360655737704918,0.7333333333333333,0.4835164835164835,0.3188405797101449,FedAvg-ST,10.0,5.0,40.0,70.3125,3.831097403590876,36.914996642369765,0.4427457385580964,Correlated,2001,20.466887107530862,0.076736971539637
185,27,158,3,412,0.1459459459459459,0.9,0.2511627906976744,0.1436170212765957,FedAvg,15.0,4.0,60.0,56.25,3.615581854865285,34.59060649344356,0.4427457385580964,Correlated,2001,21.64196225334121,
61,22,39,8,531,0.360655737704918,0.7333333333333333,0.4835164835164835,0.3188405797101449,FedAvg-ST,15.0,5.0,60.0,70.3125,3.8336121552408327,36.93676809147641,0.4427457385580964,Correlated,2001,20.470156697427445,0.076736971539637
185,27,158,3,412,0.1459459459459459,0.9,0.2511627906976744,0.1436170212765957,FedAvg,20.0,3.0,60.0,42.1875,3.615570581866496,34.59145282679392,0.4427457385580964,Correlated,2001,21.64181844184913,
61,22,39,8,531,0.360655737704918,0.7333333333333333,0.4835164835164835,0.3188405797101449,FedAvg-ST,20.0,4.0,60.0,56.25,3.833676803325152,36.93829054655746,0.4427457385580964,Correlated,2001,20.47035132150027,0.076736971539637
93,29,64,1,506,0.3118279569892473,0.9666666666666668,0.4715447154471544,0.3085106382978723,Pooled,,,,,2.228669132130076,30.00550849823809,0.239824812842191,Correlated,2002,,
80,23,57,7,513,0.2875,0.7666666666666667,0.4181818181818182,0.264367816091954,Local-only,,0.0,,0.0,2.985530850130364,33.42629185799102,0.3456229857225509,Correlated,2002,,
