scenario,method,E,n,active_m,TP_m,FP_m,precision_m,recall_m,F1_m,jaccard_m,coef_err_m,test_mse_m,rounds_m,local_epochs_m,vector_kib_m,scalar_kib_m,upload_kib_m,selected_rounds_m,selected_local_epochs_m,selected_vector_kib_m,tuning_rounds_m,total_rounds_m,F1_se,jaccard_se,coef_err_se,test_mse_se,recall_se,precision_se,active_se
Correlated,ADMM,,200,45.265,25.365,19.9,0.6326361950227455,0.8454999999999999,0.6965055722503861,0.5433485575570851,2.641926107971812,27.26155325568519,91.83,,1291.359375,0.0,1291.359375,91.83,,1291.359375,0.0,91.83,0.007246604410810177,0.008182256967259825,0.03304454777898832,0.29045488474846004,0.007715551308448404,0.012749274675997048,1.3849600886798796
Correlated,ADMM-CV,,200,118.745,29.005,89.74,0.260599343991669,0.9668333333333333,0.40571227058289866,0.2576094655137806,2.075055818003441,24.371699945417348,,,,0.0,,,,,,,0.005574045666915911,0.004509277711417735,0.014227188142915508,0.204455806964735,0.0024039040924169184,0.004702285783836716,2.195278138534532
Correlated,ADMM-CV-1SE,,200,52.17,26.92,25.25,0.5450759565674654,0.8973333333333333,0.6681770324890447,0.5077221188188471,2.4104802521983864,25.942327767710626,,,,0.0,,,,,,,0.0060151821853852575,0.006721596168093079,0.018280524237508932,0.22486551960334428,0.004156083712558693,0.008318810611097257,0.9697202103865633
Correlated,FedAvg,1.0,200,250.205,28.265,221.94,0.1228422866213017,0.9421666666666667,0.21525416609514536,0.12157839902923277,2.967881953103776,28.342879332819994,16.225,16.225,228.1640625,0.0,228.1640625,16.225,16.225,228.1640625,0.0,16.225,0.0036872877397379432,0.0023638686445806058,0.019148037568768757,0.2416965453643922,0.003200690007963883,0.002464966737630272,5.570220070442984
Correlated,FedAvg,2.0,200,223.35,28.04,195.31,0.13727945970616123,0.9346666666666666,0.23681065166648904,0.13551400335917926,2.9877534273831468,28.48183343816218,10.19,20.38,143.296875,0.0,143.296875,10.19,20.38,143.296875,0.0,10.19,0.004042631767890892,0.0026463667769426186,0.018023779063755487,0.2419364720605698,0.003455386880287405,0.002775676431092342,5.318597077648565
Correlated,FedAvg,3.0,200,211.52,27.96,183.56,0.14346309868873894,0.932,0.24608025914345205,0.14147114138546713,3.0008216637115144,28.55134480876419,8.125,24.375,114.2578125,0.0,114.2578125,8.125,24.375,114.2578125,0.0,8.125,0.003950524315167033,0.0026094906232395475,0.01764378297598774,0.24152184602247148,0.0036210810272203457,0.0027505272542314575,4.905688217204813
Correlated,FedAvg,5.0,200,201.665,27.885,173.78,0.14873588064060983,0.9295,0.2539920316399807,0.14660248767510614,3.0134365840894026,28.61300698630974,6.345,31.725,89.2265625,0.0,89.2265625,6.345,31.725,89.2265625,0.0,6.345,0.0038617488979236624,0.0025761336072945736,0.017325386878691274,0.24072251231370323,0.0035927333758566608,0.0027148372973371886,4.395573821596622
Correlated,FedAvg,8.0,200,197.11,27.84,169.27,0.15102579282841724,0.9279999999999999,0.25744530440483837,0.148819927982287,3.0202295583217045,28.64333482134505,5.185,41.48,72.9140625,0.0,72.9140625,5.185,41.48,72.9140625,0.0,5.185,0.0037596217590318403,0.0025182646554958803,0.017189108644062593,0.2403274876877716,0.003617995842177617,0.0026572558603946356,4.0992448746950405
Correlated,FedAvg,10.0,200,195.475,27.82,167.655,0.15179822834163312,0.9273333333333333,0.2586112888003333,0.14956596405632427,3.0220912716414636,28.651591488975892,4.75,47.5,66.796875,0.0,66.796875,4.75,47.5,66.796875,0.0,4.75,0.003715769645109739,0.0024932920234930493,0.017162718113924794,0.24025527112935488,0.0036127449810576806,0.0026321045213232304,3.9672588254284213
Correlated,FedAvg,15.0,200,193.755,27.805,165.95,0.1525263555505657,0.9268333333333334,0.25973556672943116,0.15027678944093822,3.023988488821323,28.659884365448903,4.045,60.675,56.8828125,0.0,56.8828125,4.045,60.675,56.8828125,0.0,4.045,0.0036553599765498344,0.0024581237729564094,0.017138705503917554,0.24020901041018713,0.003589001593755243,0.0025965037463148008,3.7654639113045123
